step,voice,note,length,velocity
768,3,65,24,72
768,4,69,24,72
768,5,69,3,92
772,5,74,5,92
778,5,77,2,92
780,5,76,2,92
782,5,74,2,92
784,0,38,4,112
784,5,72,3,92
788,5,69,7,92
798,5,65,2,92
800,0,34,4,112
800,2,62,24,72
800,3,65,24,72
800,4,70,24,72
800,5,65,3,92
804,5,70,5,92
810,5,74,2,92
812,5,72,2,92
814,5,70,2,92
816,0,34,4,112
816,5,69,3,92
820,5,65,7,92
832,0,41,4,112
832,2,60,24,72
832,3,65,24,72
832,4,69,24,72
832,5,69,3,92
836,5,72,5,92
842,5,77,3,92
846,5,72,2,92
848,0,41,4,112
848,5,69,3,92
852,5,67,3,92
856,5,65,6,92
864,0,36,4,112
864,2,60,24,72
864,3,64,24,72
864,4,67,24,72
864,5,67,3,92
868,5,72,5,92
874,5,76,2,92
876,5,74,2,92
878,5,72,2,92
880,0,36,4,112
880,5,67,3,92
884,5,64,5,92
892,5,69,3,92
896,0,38,4,112
896,2,62,24,72
896,3,65,24,72
896,4,69,24,72
896,5,69,3,92
900,5,74,5,92
906,5,77,2,92
908,5,76,2,92
910,5,74,2,92
912,0,38,4,112
912,5,72,3,92
916,5,69,7,92
926,5,65,2,92
928,0,34,4,112
928,2,62,24,72
928,3,65,24,72
928,4,70,24,72
928,5,65,3,92
932,5,70,5,92
938,5,74,2,92
940,5,72,2,92
942,5,70,2,92
944,0,34,4,112
944,5,69,3,92
948,5,65,7,92
960,0,41,4,112
960,2,60,24,72
960,3,65,24,72
960,4,69,24,72
960,5,69,3,92
964,5,72,5,92
970,5,77,3,92
974,5,72,2,92
976,0,41,4,112
976,5,69,3,92
980,5,67,3,92
984,5,65,6,92
992,0,36,4,112
992,2,60,24,72
992,3,64,24,72
992,4,67,24,72
992,5,67,3,92
996,5,72,5,92
1002,5,76,2,92
1004,5,74,2,92
1006,5,72,2,92
1008,0,36,4,112
1008,5,67,3,92
1012,5,64,5,92
1020,5,69,3,92
1024,0,41,4,112
1024,1,69,3,104
1024,2,60,10,64
