T t=56.2 bar=37 sec=4 dma=1 interp=1 | render ms 4.60/4.95/6.14 | fps 59.7 | spans 1221 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2882 cy/pump 41.33 Mcy/s 1722 cy/sample | pump worst 229.87 us peak 259.77 us | AHASH s=1344000 d690114c | last_us prep=14 world=4811 lights=0 board=0 other=2 shot=2 world_id=5 lights_n=0
T t=57.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.69/4.58/5.27 | fps 59.7 | spans 1013 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2890 cy/pump 41.45 Mcy/s 1727 cy/sample | pump worst 226.07 us peak 259.77 us | AHASH s=1368000 01ac249b | last_us prep=13 world=3814 lights=0 board=1 other=3 shot=4 world_id=5 lights_n=0
T t=58.2 bar=38 sec=4 dma=1 interp=1 | render ms 3.70/3.77/3.84 | fps 59.7 | spans 1013 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 231.74 us peak 259.77 us | AHASH s=1392000 522cb3b3 | last_us prep=13 world=3788 lights=0 board=1 other=1 shot=4 world_id=5 lights_n=0
T t=59.2 bar=39 sec=4 dma=1 interp=1 | render ms 3.70/3.77/3.84 | fps 59.7 | spans 1013 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2830 cy/pump 40.59 Mcy/s 1691 cy/sample | pump worst 246.34 us peak 259.77 us | AHASH s=1416000 6cc6ca69 | last_us prep=14 world=3776 lights=0 board=0 other=2 shot=4 world_id=5 lights_n=0
T t=60.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.69/3.80/4.01 | fps 59.7 | spans 1243 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 2949 cy/pump 42.29 Mcy/s 1762 cy/sample | pump worst 228.16 us peak 259.77 us | AHASH s=1440000 848a85cd | last_us prep=15 world=3858 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=61.2 bar=40 sec=5 dma=1 interp=1 | render ms 3.74/3.87/4.03 | fps 59.7 | spans 1399 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3212 cy/pump 46.06 Mcy/s 1919 cy/sample | pump worst 256.53 us peak 259.77 us | AHASH s=1464000 eda157bc | last_us prep=14 world=4017 lights=0 board=0 other=2 shot=3 world_id=6 lights_n=0
T t=62.2 bar=41 sec=5 dma=1 interp=1 | render ms 3.73/3.89/4.12 | fps 59.7 | spans 1293 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3198 cy/pump 45.86 Mcy/s 1911 cy/sample | pump worst 240.60 us peak 259.77 us | AHASH s=1488000 c4640e24 | last_us prep=14 world=3945 lights=10 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=63.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.75/3.89/4.09 | fps 59.7 | spans 1243 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3203 cy/pump 45.94 Mcy/s 1914 cy/sample | pump worst 232.69 us peak 259.77 us | AHASH s=1512000 092b46aa | last_us prep=15 world=3856 lights=14 board=0 other=2 shot=3 world_id=6 lights_n=1
T t=64.2 bar=42 sec=5 dma=1 interp=1 | render ms 3.72/3.88/4.10 | fps 59.7 | spans 1416 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3213 cy/pump 46.07 Mcy/s 1920 cy/sample | pump worst 231.71 us peak 259.77 us | AHASH s=1536000 ff24f58e | last_us prep=15 world=4084 lights=61 board=1 other=2 shot=3 world_id=6 lights_n=1
T t=65.2 bar=43 sec=5 dma=1 interp=1 | render ms 3.72/3.87/4.18 | fps 59.7 | spans 1288 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3200 cy/pump 45.89 Mcy/s 1912 cy/sample | pump worst 225.05 us peak 259.77 us | AHASH s=1560000 6b6134c4 | last_us prep=14 world=3935 lights=0 board=0 other=3 shot=3 world_id=6 lights_n=0
T t=66.2 bar=44 sec=5 dma=1 interp=1 | render ms 3.75/5.27/9.16 | fps 59.7 | spans 898 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3215 cy/pump 46.11 Mcy/s 1921 cy/sample | pump worst 247.52 us peak 259.77 us | AHASH s=1584000 3e708cbd | last_us prep=16 world=9123 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=67.2 bar=44 sec=5 dma=1 interp=1 | render ms 8.89/9.04/9.19 | fps 59.7 | spans 649 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3252 cy/pump 46.64 Mcy/s 1943 cy/sample | pump worst 259.91 us peak 259.91 us | AHASH s=1608000 26549bbb | last_us prep=14 world=9086 lights=0 board=0 other=3 shot=2 world_id=6 lights_n=0
T t=68.2 bar=45 sec=5 dma=1 interp=1 | render ms 8.87/9.02/9.18 | fps 59.7 | spans 649 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3242 cy/pump 46.49 Mcy/s 1937 cy/sample | pump worst 311.39 us peak 311.39 us | AHASH s=1632000 6118a18c | last_us prep=15 world=9072 lights=0 board=1 other=3 shot=2 world_id=6 lights_n=0
T t=69.2 bar=46 sec=5 dma=1 interp=1 | render ms 8.87/9.02/9.17 | fps 59.7 | spans 898 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3234 cy/pump 46.38 Mcy/s 1932 cy/sample | pump worst 282.31 us peak 311.39 us | AHASH s=1656000 2eda5e84 | last_us prep=16 world=9141 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=70.2 bar=46 sec=5 dma=1 interp=1 | render ms 8.86/9.01/9.18 | fps 59.7 | spans 649 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3250 cy/pump 46.60 Mcy/s 1942 cy/sample | pump worst 276.48 us peak 311.39 us | AHASH s=1680000 e6357b0a | last_us prep=15 world=9058 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=71.2 bar=47 sec=5 dma=1 interp=1 | render ms 8.88/9.04/9.18 | fps 59.7 | spans 649 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3241 cy/pump 46.48 Mcy/s 1937 cy/sample | pump worst 251.89 us peak 311.39 us | AHASH s=1704000 b9f0628d | last_us prep=15 world=9078 lights=0 board=0 other=2 shot=2 world_id=6 lights_n=0
T t=72.2 bar=48 sec=6 dma=1 interp=1 | render ms 5.11/7.91/9.19 | fps 59.7 | spans 1326 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3227 cy/pump 46.28 Mcy/s 1929 cy/sample | pump worst 252.07 us peak 311.39 us | AHASH s=1728000 24ecc0ae | last_us prep=15 world=5296 lights=742 board=0 other=2 shot=2 world_id=7 lights_n=1
T t=73.2 bar=48 sec=6 dma=1 interp=1 | render ms 5.10/5.25/5.49 | fps 59.7 | spans 1345 | repeat 41 | over 43 | fill 624 win 988 under 0 | synth 3087 cy/pump 44.27 Mcy/s 1844 cy/sample | pump worst 255.90 us peak 311.39 us | AHASH s=1752000 389bd00b | last_us prep=16 world=5327 lights=747 board=0 other=2 shot=2 world_id=7 lights_n=2
