
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=26.0 bar=17 sec=2 dma=1 interp=1 | render ms 3.13/3.24/3.37 | fps 59.7 | spans 986 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2866 cy/pump 41.10 Mcy/s 1712 cy/sample | pump worst 256.03 us peak 266.07 us | AHASH s=624000 7e6c4a6c | last_us prep=10 world=3174 lights=10 board=0 other=3 shot=3 world_id=3 lights_n=1
T t=27.0 bar=18 sec=2 dma=1 interp=1 | render ms 3.15/3.25/3.38 | fps 59.7 | spans 955 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2869 cy/pump 41.15 Mcy/s 1714 cy/sample | pump worst 230.51 us peak 266.07 us | AHASH s=648000 f49d25ba | last_us prep=10 world=3181 lights=14 board=0 other=2 shot=3 world_id=3 lights_n=1
T t=28.1 bar=18 sec=2 dma=1 interp=1 | render ms 3.17/3.27/3.38 | fps 59.7 | spans 1042 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2851 cy/pump 40.89 Mcy/s 1703 cy/sample | pump worst 212.60 us peak 266.07 us | AHASH s=672000 3fad9b38 | last_us prep=10 world=3245 lights=33 board=1 other=3 shot=3 world_id=3 lights_n=1
T t=29.1 bar=19 sec=2 dma=1 interp=1 | render ms 3.09/3.22/3.41 | fps 59.7 | spans 980 | repeat 1 | over 0 | fill 988 win 988 under 0 | synth 2868 cy/pump 41.13 Mcy/s 1713 cy/sample | pump worst 202.10 us peak 266.07 us | AHASH s=696000 67d16b90 | last_us prep=10 world=3093 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=30.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.08/3.26/3.80 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 987 win 987 under 0 | synth 2866 cy/pump 41.10 Mcy/s 1713 cy/sample | pump worst 218.49 us peak 266.07 us | AHASH s=720000 a4965b87 | last_us prep=10 world=3675 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=31.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.69/3.76/3.86 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2825 cy/pump 40.52 Mcy/s 1688 cy/sample | pump worst 197.52 us peak 266.07 us | AHASH s=744000 928689ea | last_us prep=10 world=3688 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=32.1 bar=21 sec=2 dma=1 interp=1 | render ms 3.70/3.78/3.88 | fps 59.7 | spans 1013 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2837 cy/pump 40.69 Mcy/s 1695 cy/sample | pump worst 188.67 us peak 266.07 us | AHASH s=768000 81d2d254 | last_us prep=11 world=3738 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=33.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.24/3.71/3.92 | fps 59.7 | spans 958 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 213.01 us peak 266.07 us | AHASH s=792000 7f79ba8c | last_us prep=10 world=3223 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=34.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.23/3.34/3.50 | fps 59.7 | spans 1119 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2854 cy/pump 40.93 Mcy/s 1705 cy/sample | pump worst 207.35 us peak 266.07 us | AHASH s=816000 2c8cb3ee | last_us prep=11 world=3382 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=35.1 bar=23 sec=2 dma=1 interp=1 | render ms 3.39/3.71/4.22 | fps 59.7 | spans 1212 | repeat 1 | over 0 | fill 987 win 988 under 0 | synth 2859 cy/pump 41.00 Mcy/s 1708 cy/sample | pump worst 221.26 us peak 266.07 us | AHASH s=840000 c068afb2 | last_us prep=12 world=4095 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
