SELFTEST accelerator=0 (real SIO registers)
T t=30.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.19/3.38/4.00 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1804 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2871 cy/pump 41.18 Mcy/s 1716 cy/sample | pump worst 262.52 us peak 262.52 us | AHASH s=720000 a4965b87 | last_us prep=11 world=3971 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=31.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.88/3.95/4.00 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1864 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2822 cy/pump 40.47 Mcy/s 1686 cy/sample | pump worst 225.07 us peak 262.52 us | AHASH s=744000 928689ea | last_us prep=12 world=3975 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=32.1 bar=21 sec=2 dma=1 interp=1 | render ms 3.89/3.96/4.04 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1924 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2834 cy/pump 40.65 Mcy/s 1694 cy/sample | pump worst 206.36 us peak 262.52 us | AHASH s=768000 81d2d254 | last_us prep=11 world=4016 lights=0 board=0 other=3 shot=4 world_id=3 lights_n=0
T t=33.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.34/3.88/4.03 | fps 59.7 | spans 958 | repeat 0 | over 0 | fields 1984 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2843 cy/pump 40.77 Mcy/s 1699 cy/sample | pump worst 202.62 us peak 262.52 us | AHASH s=792000 7f79ba8c | last_us prep=12 world=3431 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=34.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.32/3.45/3.59 | fps 59.7 | spans 1115 | repeat 0 | over 0 | fields 2044 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2859 cy/pump 40.99 Mcy/s 1708 cy/sample | pump worst 212.33 us peak 262.52 us | AHASH s=816000 2c8cb3ee | last_us prep=12 world=3574 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=35.1 bar=23 sec=2 dma=1 interp=1 | render ms 3.51/3.81/4.27 | fps 59.7 | spans 1212 | repeat 0 | over 0 | fields 2104 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2864 cy/pump 41.07 Mcy/s 1711 cy/sample | pump worst 247.72 us peak 262.52 us | AHASH s=840000 c068afb2 | last_us prep=13 world=4255 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=36.1 bar=24 sec=3 dma=1 interp=1 | render ms 4.20/4.93/6.93 | fps 59.7 | spans 258 | repeat 0 | over 0 | fields 2164 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2874 cy/pump 41.22 Mcy/s 1717 cy/sample | pump worst 204.01 us peak 262.52 us | AHASH s=864000 3792f536 | last_us prep=4 world=6926 lights=294 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=37.1 bar=24 sec=3 dma=1 interp=1 | render ms 6.81/7.19/7.96 | fps 59.7 | spans 262 | repeat 0 | over 0 | fields 2224 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2842 cy/pump 40.76 Mcy/s 1698 cy/sample | pump worst 151.96 us peak 262.52 us | AHASH s=888000 c3e57a0d | last_us prep=5 world=7368 lights=735 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=38.1 bar=25 sec=3 dma=1 interp=1 | render ms 6.80/7.33/7.97 | fps 59.7 | spans 255 | repeat 0 | over 0 | fields 2284 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2843 cy/pump 40.77 Mcy/s 1699 cy/sample | pump worst 158.94 us peak 262.52 us | AHASH s=912000 fac2c359 | last_us prep=4 world=7142 lights=508 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=39.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.63/6.89/11.96 | fps 59.7 | spans 1100 | repeat 0 | over 0 | fields 2344 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2855 cy/pump 40.94 Mcy/s 1706 cy/sample | pump worst 156.45 us peak 262.52 us | AHASH s=936000 e8ba91a6 | last_us prep=4 world=11959 lights=1370 board=0 other=0 shot=2 world_id=4 lights_n=1
