SELFTEST accelerator=0 (real SIO registers)
T t=35.1 bar=23 sec=2 dma=1 interp=1 | render ms 3.39/3.71/4.15 | fps 59.7 | spans 1213 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2863 cy/pump 41.06 Mcy/s 1710 cy/sample | pump worst 220.40 us peak 263.63 us | AHASH s=840000 c068afb2 | last_us prep=12 world=4099 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=36.1 bar=24 sec=3 dma=1 interp=1 | render ms 4.15/4.81/6.28 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2869 cy/pump 41.15 Mcy/s 1714 cy/sample | pump worst 214.73 us peak 263.63 us | AHASH s=864000 3792f536 | last_us prep=4 world=6270 lights=297 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=37.1 bar=24 sec=3 dma=1 interp=1 | render ms 6.14/6.54/7.31 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2840 cy/pump 40.72 Mcy/s 1697 cy/sample | pump worst 148.49 us peak 263.63 us | AHASH s=888000 c3e57a0d | last_us prep=4 world=6696 lights=723 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=38.1 bar=25 sec=3 dma=1 interp=1 | render ms 6.14/6.69/7.34 | fps 59.7 | spans 255 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2836 cy/pump 40.67 Mcy/s 1694 cy/sample | pump worst 154.34 us peak 263.63 us | AHASH s=912000 fac2c359 | last_us prep=4 world=6429 lights=458 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=39.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.86/6.06/7.31 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 148.24 us peak 263.63 us | AHASH s=936000 e8ba91a6 | last_us prep=4 world=2992 lights=1692 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=40.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.84/3.66/4.55 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2838 cy/pump 40.70 Mcy/s 1695 cy/sample | pump worst 146.65 us peak 263.63 us | AHASH s=960000 4c0032fb | last_us prep=4 world=2854 lights=1553 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=41.1 bar=27 sec=3 dma=1 interp=1 | render ms 2.84/3.66/4.63 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2828 cy/pump 40.55 Mcy/s 1690 cy/sample | pump worst 148.44 us peak 263.63 us | AHASH s=984000 4ee72319 | last_us prep=4 world=4381 lights=3081 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=42.1 bar=28 sec=3 dma=1 interp=1 | render ms 2.84/3.99/6.31 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2846 cy/pump 40.81 Mcy/s 1700 cy/sample | pump worst 151.04 us peak 263.63 us | AHASH s=1008000 83dbfe27 | last_us prep=4 world=6288 lights=317 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=43.1 bar=28 sec=3 dma=1 interp=1 | render ms 6.16/6.56/7.31 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 146.83 us peak 263.63 us | AHASH s=1032000 0c275e97 | last_us prep=4 world=6802 lights=831 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=44.1 bar=29 sec=3 dma=1 interp=1 | render ms 6.14/6.67/7.33 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2830 cy/pump 40.59 Mcy/s 1691 cy/sample | pump worst 148.45 us peak 263.63 us | AHASH s=1056000 e9cecb7a | last_us prep=4 world=6141 lights=170 board=1 other=0 shot=6 world_id=4 lights_n=4
T t=45.1 bar=30 sec=3 dma=1 interp=1 | render ms 6.14/6.69/7.42 | fps 59.7 | spans 256 | repeat 1 | over 0 | fill 626 win 988 under 0 | synth 2867 cy/pump 41.12 Mcy/s 1712 cy/sample | pump worst 153.29 us peak 263.63 us | AHASH s=1080000 aa72f8a4 | last_us prep=4 world=7368 lights=318 board=0 other=0 shot=6 world_id=4 lights_n=3
