SELFTEST accelerator=0 (real SIO registers)
T t=34.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.23/3.34/3.51 | fps 59.7 | spans 1119 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2856 cy/pump 40.96 Mcy/s 1706 cy/sample | pump worst 239.84 us peak 265.78 us | AHASH s=816000 2c8cb3ee | last_us prep=11 world=3380 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=35.1 bar=23 sec=2 dma=1 interp=1 | render ms 3.40/3.71/4.20 | fps 59.7 | spans 1213 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2861 cy/pump 41.03 Mcy/s 1709 cy/sample | pump worst 226.28 us peak 265.78 us | AHASH s=840000 c068afb2 | last_us prep=11 world=4107 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=36.1 bar=24 sec=3 dma=1 interp=1 | render ms 4.13/4.80/6.28 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2872 cy/pump 41.18 Mcy/s 1715 cy/sample | pump worst 201.74 us peak 265.78 us | AHASH s=864000 3792f536 | last_us prep=4 world=6272 lights=298 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=37.1 bar=24 sec=3 dma=1 interp=1 | render ms 6.14/6.55/7.35 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2840 cy/pump 40.73 Mcy/s 1696 cy/sample | pump worst 148.43 us peak 265.78 us | AHASH s=888000 c3e57a0d | last_us prep=4 world=6728 lights=758 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=38.1 bar=25 sec=3 dma=1 interp=1 | render ms 6.14/6.68/7.34 | fps 59.7 | spans 255 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2836 cy/pump 40.66 Mcy/s 1694 cy/sample | pump worst 154.19 us peak 265.78 us | AHASH s=912000 fac2c359 | last_us prep=4 world=6402 lights=431 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=39.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.86/6.05/7.30 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2849 cy/pump 40.86 Mcy/s 1702 cy/sample | pump worst 147.90 us peak 265.78 us | AHASH s=936000 e8ba91a6 | last_us prep=4 world=2940 lights=1639 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=40.1 bar=26 sec=3 dma=1 interp=1 | render ms 2.84/3.66/4.47 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2839 cy/pump 40.71 Mcy/s 1696 cy/sample | pump worst 146.66 us peak 265.78 us | AHASH s=960000 4c0032fb | last_us prep=4 world=2853 lights=1553 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=41.1 bar=27 sec=3 dma=1 interp=1 | render ms 2.84/3.66/4.60 | fps 59.7 | spans 288 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2827 cy/pump 40.54 Mcy/s 1689 cy/sample | pump worst 150.05 us peak 265.78 us | AHASH s=984000 4ee72319 | last_us prep=4 world=4358 lights=3059 board=0 other=0 shot=2 world_id=4 lights_n=3
T t=42.1 bar=28 sec=3 dma=1 interp=1 | render ms 2.84/3.98/6.31 | fps 59.7 | spans 258 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2846 cy/pump 40.82 Mcy/s 1700 cy/sample | pump worst 151.05 us peak 265.78 us | AHASH s=1008000 83dbfe27 | last_us prep=4 world=6288 lights=317 board=0 other=1 shot=6 world_id=4 lights_n=3
T t=43.1 bar=28 sec=3 dma=1 interp=1 | render ms 6.15/6.56/7.31 | fps 59.7 | spans 262 | repeat 1 | over 0 | fill 986 win 988 under 0 | synth 2847 cy/pump 40.83 Mcy/s 1701 cy/sample | pump worst 146.50 us peak 265.78 us | AHASH s=1032000 0c275e97 | last_us prep=4 world=6836 lights=865 board=0 other=1 shot=6 world_id=4 lights_n=3
