
BOOT SLEEPER dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=29.1 bar=19 sec=2 dma=1 interp=1 | render ms 3.19/3.33/3.62 | fps 59.7 | spans 980 | repeat 0 | over 0 | fields 1744 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2865 cy/pump 41.09 Mcy/s 1711 cy/sample | pump worst 206.81 us peak 260.64 us | AHASH s=696000 67d16b90 | last_us prep=12 world=3314 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=30.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.18/3.38/3.98 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1804 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2869 cy/pump 41.15 Mcy/s 1714 cy/sample | pump worst 259.01 us peak 260.64 us | AHASH s=720000 a4965b87 | last_us prep=12 world=3968 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=31.1 bar=20 sec=2 dma=1 interp=1 | render ms 3.88/3.94/4.01 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1864 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2823 cy/pump 40.48 Mcy/s 1686 cy/sample | pump worst 195.75 us peak 260.64 us | AHASH s=744000 928689ea | last_us prep=12 world=3979 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=32.1 bar=21 sec=2 dma=1 interp=1 | render ms 3.88/3.96/4.03 | fps 59.7 | spans 1013 | repeat 0 | over 0 | fields 1924 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2834 cy/pump 40.65 Mcy/s 1694 cy/sample | pump worst 228.83 us peak 260.64 us | AHASH s=768000 81d2d254 | last_us prep=12 world=4012 lights=0 board=0 other=2 shot=4 world_id=3 lights_n=0
T t=33.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.33/3.88/4.03 | fps 59.7 | spans 958 | repeat 0 | over 0 | fields 1984 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2842 cy/pump 40.76 Mcy/s 1698 cy/sample | pump worst 242.58 us peak 260.64 us | AHASH s=792000 7f79ba8c | last_us prep=13 world=3438 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=34.1 bar=22 sec=2 dma=1 interp=1 | render ms 3.31/3.45/3.59 | fps 59.7 | spans 1115 | repeat 0 | over 0 | fields 2044 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2859 cy/pump 41.00 Mcy/s 1708 cy/sample | pump worst 220.21 us peak 260.64 us | AHASH s=816000 2c8cb3ee | last_us prep=13 world=3581 lights=0 board=0 other=2 shot=3 world_id=3 lights_n=0
T t=35.1 bar=23 sec=2 dma=1 interp=1 | render ms 3.48/3.81/4.29 | fps 59.7 | spans 1212 | repeat 0 | over 0 | fields 2104 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2864 cy/pump 41.07 Mcy/s 1711 cy/sample | pump worst 243.37 us peak 260.64 us | AHASH s=840000 c068afb2 | last_us prep=12 world=4275 lights=0 board=0 other=3 shot=3 world_id=3 lights_n=0
T t=36.1 bar=24 sec=3 dma=1 interp=1 | render ms 4.20/4.94/6.94 | fps 59.7 | spans 258 | repeat 0 | over 0 | fields 2164 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2884 cy/pump 41.35 Mcy/s 1723 cy/sample | pump worst 247.45 us peak 260.64 us | AHASH s=864000 3792f536 | last_us prep=3 world=6936 lights=302 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=37.1 bar=24 sec=3 dma=1 interp=1 | render ms 6.81/7.19/7.96 | fps 59.7 | spans 262 | repeat 0 | over 0 | fields 2224 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2845 cy/pump 40.80 Mcy/s 1699 cy/sample | pump worst 149.50 us peak 260.64 us | AHASH s=888000 c3e57a0d | last_us prep=5 world=7368 lights=734 board=0 other=0 shot=6 world_id=4 lights_n=3
T t=38.1 bar=25 sec=3 dma=1 interp=1 | render ms 6.81/7.33/7.98 | fps 59.7 | spans 255 | repeat 0 | over 0 | fields 2284 firstrep 0 boot 1 | fill 987 win 988 under 0 | synth 2843 cy/pump 40.77 Mcy/s 1698 cy/sample | pump worst 158.37 us peak 260.64 us | AHASH s=912000 fac2c359 | last_us prep=3 world=7139 lights=507 board=0 other=0 shot=6 world_id=4 lights_n=3
