
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=150880 heap_free=150880 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=150880
BOOT heap_free_after_video=139264 scanout_lines=240
T t=45.1 bar=23 ph=3 the plain | render ms 6.22/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2960 cy/pump 41.74 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 1 | AHASH s=1080000 3c3b7676
PHRASE t=46.0 bar=24 ph=4 the hand | render ms 6.21/6.23/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.94 Mcy/s | synth 2959 cy/pump 42.39 Mcy/s 1766 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1104000 159985cb
T t=46.1 bar=24 ph=4 the hand | render ms 6.22/6.24/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2960 cy/pump 41.74 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1104000 159985cb
T t=47.1 bar=24 ph=4 the hand | render ms 6.22/6.24/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2960 cy/pump 41.73 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1128000 a507af95
T t=48.1 bar=25 ph=4 the hand | render ms 6.22/6.24/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2958 cy/pump 41.71 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1152000 fea4f11a
T t=49.1 bar=25 ph=4 the hand | render ms 6.22/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1176000 ac690a5a
T t=50.1 bar=26 ph=4 the hand | render ms 6.23/6.24/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1200000 f873dd08
T t=51.1 bar=26 ph=4 the hand | render ms 6.22/6.24/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1224000 c3b4bb76
T t=52.2 bar=27 ph=4 the hand | render ms 6.23/6.24/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1248000 05745f6b
T t=53.2 bar=27 ph=4 the hand | render ms 6.23/6.24/6.25 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2960 cy/pump 41.74 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1272000 a13b2140
T t=54.2 bar=28 ph=4 the hand | render ms 6.22/6.24/6.28 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.71 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1296000 78105b3c
T t=55.2 bar=28 ph=4 the hand | render ms 6.22/6.24/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1320000 afedece0
T t=56.2 bar=29 ph=4 the hand | render ms 6.23/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2959 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1344000 5b477c1e
T t=57.2 bar=29 ph=4 the hand | render ms 6.23/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1368000 812c4246
T t=58.2 bar=30 ph=4 the hand | render ms 6.23/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1392000 bd966cf3
T t=59.2 bar=30 ph=4 the hand | render ms 6.23/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1416000 6495f6fb
T t=60.2 bar=31 ph=4 the hand | render ms 6.23/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1440000 3f5f9a21
T t=61.2 bar=31 ph=4 the hand | render ms 6.23/6.24/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1464000 444d7d03
PHRASE t=61.4 bar=32 ph=5 the hand | render ms 6.22/6.24/6.28 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.94 Mcy/s | synth 2959 cy/pump 42.39 Mcy/s 1766 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1464000 444d7d03
T t=62.2 bar=32 ph=5 the hand | render ms 6.24/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.71 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1488000 941943d6
T t=63.2 bar=32 ph=5 the hand | render ms 6.24/6.25/6.28 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1512000 8a2532e6
T t=64.2 bar=33 ph=5 the hand | render ms 6.23/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1536000 106f9ee9
T t=65.2 bar=33 ph=5 the hand | render ms 6.24/6.25/6.28 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1560000 6056688e
T t=66.2 bar=34 ph=5 the hand | render ms 6.23/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2959 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1584000 ff52ffe2
T t=67.2 bar=35 ph=5 the hand | render ms 6.24/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2960 cy/pump 41.74 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1608000 83f990b5
T t=68.2 bar=35 ph=5 the hand | render ms 6.24/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.40 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1632000 1317fced
T t=69.2 bar=36 ph=5 the hand | render ms 6.23/6.25/6.26 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.71 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1656000 3cb02279
T t=70.2 bar=36 ph=5 the hand | render ms 6.24/6.25/6.28 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1739 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1680000 80101a1c
T t=71.2 bar=37 ph=5 the hand | render ms 6.24/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1704000 3b94f7bc
T t=72.2 bar=37 ph=5 the hand | render ms 6.23/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1728000 4db2e8f2
T t=73.2 bar=38 ph=5 the hand | render ms 6.23/6.25/6.28 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2958 cy/pump 41.72 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1752000 d6d05b06
T t=74.2 bar=38 ph=5 the hand | render ms 6.24/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1776000 22959014
T t=75.3 bar=39 ph=5 the hand | render ms 6.24/6.25/6.27 | fps 59.7 | hold 1 miss 0 late 0 | gap ms 16.73 | under 0 fill 464 | copy 2439 cy/line 34.39 Mcy/s | synth 2959 cy/pump 41.73 Mcy/s 1738 cy/sample | tri 0 px 76800 part 0 ch 2 | AHASH s=1800000 1f021550
