SELFTEST accelerator=0 (real SIO registers)
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 13.78/13.98/14.30 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3055 cy/pump 43.82 Mcy/s 1825 cy/sample | pump worst 187.25 us peak 244.04 us | AHASH s=1368000 9306c33b | last_us prep=892 wait=2669 field=0 mesh=5540 other=4701 texels=38326
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.58/13.69/13.94 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 2943 cy/pump 42.20 Mcy/s 1758 cy/sample | pump worst 194.64 us peak 244.04 us | AHASH s=1392000 6c4eef5e | last_us prep=886 wait=2680 field=0 mesh=5301 other=4719 texels=35822
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 13.41/13.50/13.72 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2878 cy/pump 41.28 Mcy/s 1719 cy/sample | pump worst 189.12 us peak 244.04 us | AHASH s=1416000 c4e6d69f | last_us prep=887 wait=2694 field=0 mesh=5127 other=4732 texels=33838
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.33/13.38/13.55 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3073 cy/pump 44.07 Mcy/s 1836 cy/sample | pump worst 206.55 us peak 244.04 us | AHASH s=1440000 e033e03e | last_us prep=886 wait=2691 field=0 mesh=5101 other=4734 texels=32858
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 13.37/13.43/13.52 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3023 cy/pump 43.35 Mcy/s 1806 cy/sample | pump worst 189.69 us peak 244.04 us | AHASH s=1464000 8511090b | last_us prep=892 wait=2678 field=0 mesh=5197 other=4731 texels=33054
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.50/13.60/13.73 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3085 cy/pump 44.24 Mcy/s 1842 cy/sample | pump worst 204.94 us peak 244.04 us | AHASH s=1488000 cd59b295 | last_us prep=883 wait=2694 field=0 mesh=5419 other=4731 texels=35354
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.71/13.88/14.03 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3044 cy/pump 43.65 Mcy/s 1819 cy/sample | pump worst 195.63 us peak 244.04 us | AHASH s=1512000 b5cecce8 | last_us prep=882 wait=2689 field=0 mesh=5740 other=4719 texels=39192
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.04/14.14/14.24 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3029 cy/pump 43.44 Mcy/s 1810 cy/sample | pump worst 218.45 us peak 244.04 us | AHASH s=1536000 acaee972 | last_us prep=895 wait=2681 field=0 mesh=5945 other=4704 texels=42208
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.19/14.24/14.34 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3042 cy/pump 43.63 Mcy/s 1817 cy/sample | pump worst 192.87 us peak 244.04 us | AHASH s=1560000 f2d1a175 | last_us prep=879 wait=2687 field=0 mesh=6002 other=4688 texels=43562
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.17/14.23/14.37 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2979 cy/pump 42.72 Mcy/s 1780 cy/sample | pump worst 199.17 us peak 244.04 us | AHASH s=1584000 f4b464e5 | last_us prep=882 wait=2685 field=0 mesh=5952 other=4688 texels=43480
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.04/14.15/14.35 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3085 cy/pump 44.24 Mcy/s 1843 cy/sample | pump worst 195.71 us peak 244.04 us | AHASH s=1608000 ab894df0 | last_us prep=881 wait=2683 field=0 mesh=5794 other=4701 texels=40948
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.84/13.96/14.18 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3091 cy/pump 44.33 Mcy/s 1847 cy/sample | pump worst 221.87 us peak 244.04 us | AHASH s=1632000 5c19c873 | last_us prep=881 wait=2687 field=0 mesh=5589 other=4713 texels=36438
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.68/13.78/14.00 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3094 cy/pump 44.38 Mcy/s 1848 cy/sample | pump worst 199.89 us peak 244.04 us | AHASH s=1656000 dd19872a | last_us prep=881 wait=2696 field=0 mesh=5437 other=4732 texels=33044
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.65/13.71/13.85 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3063 cy/pump 43.92 Mcy/s 1830 cy/sample | pump worst 200.17 us peak 244.04 us | AHASH s=1680000 c39ec861 | last_us prep=886 wait=2691 field=0 mesh=5381 other=4737 texels=31672
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.68/13.72/13.82 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3154 cy/pump 45.23 Mcy/s 1884 cy/sample | pump worst 193.51 us peak 244.04 us | AHASH s=1704000 e943efc1 | last_us prep=888 wait=2680 field=0 mesh=5463 other=4738 texels=32526
T t=72.3 bar=36 sec=2 dma=1 interp=1 | render ms 13.73/13.79/13.87 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3173 cy/pump 45.50 Mcy/s 1896 cy/sample | pump worst 214.83 us peak 244.04 us | AHASH s=1728000 ca78b6dc | last_us prep=891 wait=2680 field=0 mesh=5558 other=4734 texels=34510
T t=73.3 bar=36 sec=2 dma=1 interp=1 | render ms 13.83/13.94/14.08 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3042 cy/pump 43.63 Mcy/s 1818 cy/sample | pump worst 204.48 us peak 244.04 us | AHASH s=1752000 ceb4cb9f | last_us prep=877 wait=2693 field=0 mesh=5767 other=4746 texels=37854
T t=74.3 bar=37 sec=2 dma=1 interp=1 | render ms 14.04/14.14/14.24 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3178 cy/pump 45.58 Mcy/s 1898 cy/sample | pump worst 209.81 us peak 244.04 us | AHASH s=1776000 e6bb9f2c | last_us prep=888 wait=2673 field=0 mesh=5976 other=4710 texels=41232
T t=75.3 bar=37 sec=2 dma=1 interp=1 | render ms 14.22/14.30/14.41 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3155 cy/pump 45.24 Mcy/s 1885 cy/sample | pump worst 191.77 us peak 244.04 us | AHASH s=1800000 f5f7e452 | last_us prep=890 wait=2686 field=0 mesh=6050 other=4694 texels=43602
T t=76.3 bar=38 sec=2 dma=1 interp=1 | render ms 14.16/14.25/14.48 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3196 cy/pump 45.84 Mcy/s 1909 cy/sample | pump worst 201.35 us peak 244.04 us | AHASH s=1824000 024df89c | last_us prep=887 wait=2697 field=0 mesh=5938 other=4708 texels=43290
T t=77.3 bar=38 sec=2 dma=1 interp=1 | render ms 14.01/14.10/14.36 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3155 cy/pump 45.25 Mcy/s 1884 cy/sample | pump worst 199.47 us peak 244.04 us | AHASH s=1848000 4f0f0698 | last_us prep=886 wait=2692 field=0 mesh=5778 other=4706 texels=41702
T t=78.3 bar=39 sec=2 dma=1 interp=1 | render ms 13.88/13.99/14.20 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3062 cy/pump 43.92 Mcy/s 1830 cy/sample | pump worst 194.53 us peak 244.04 us | AHASH s=1872000 e1d46a93 | last_us prep=881 wait=2685 field=0 mesh=5632 other=4728 texels=39024
