
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.82/9.88/9.95 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 603 cy/pump 8.65 Mcy/s 360 cy/sample | pump worst 36.25 us peak 36.63 us | last_us prep=856 wait=2676 field=1413 mesh=2725 other=2269 texels=49468
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 9.93/9.98/10.11 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 602 cy/pump 8.64 Mcy/s 360 cy/sample | pump worst 36.33 us peak 36.63 us | last_us prep=857 wait=2678 field=1413 mesh=2798 other=2276 texels=50116
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.02/10.07/10.17 | fps 59.7 | tri 1143 | fill 624 win 988 under 0 | synth 601 cy/pump 8.61 Mcy/s 358 cy/sample | pump worst 36.59 us peak 36.63 us | last_us prep=856 wait=2679 field=1413 mesh=2867 other=2287 texels=51019
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.09/10.15/10.24 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 603 cy/pump 8.65 Mcy/s 360 cy/sample | pump worst 36.27 us peak 36.63 us | last_us prep=857 wait=2676 field=1412 mesh=2968 other=2295 texels=52196
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.22/10.31/10.39 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 602 cy/pump 8.63 Mcy/s 359 cy/sample | pump worst 36.26 us peak 36.63 us | last_us prep=856 wait=2682 field=1414 mesh=3141 other=2303 texels=53708
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.40/10.47/10.55 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 603 cy/pump 8.65 Mcy/s 360 cy/sample | pump worst 36.54 us peak 36.63 us | last_us prep=856 wait=2674 field=1412 mesh=3249 other=2308 texels=54828
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.51/10.54/10.64 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 603 cy/pump 8.65 Mcy/s 360 cy/sample | pump worst 36.37 us peak 36.63 us | last_us prep=856 wait=2673 field=1413 mesh=3317 other=2317 texels=55568
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.57/10.65/10.73 | fps 59.7 | tri 1148 | fill 624 win 988 under 0 | synth 603 cy/pump 8.66 Mcy/s 360 cy/sample | pump worst 36.26 us peak 36.63 us | last_us prep=857 wait=2677 field=1412 mesh=3455 other=2324 texels=56594
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.72/10.80/10.90 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 604 cy/pump 8.66 Mcy/s 361 cy/sample | pump worst 36.26 us peak 36.63 us | last_us prep=854 wait=2684 field=1412 mesh=3616 other=2333 texels=57834
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 10.88/10.99/11.10 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 604 cy/pump 8.66 Mcy/s 360 cy/sample | pump worst 36.35 us peak 36.63 us | last_us prep=855 wait=2677 field=1413 mesh=3813 other=2338 texels=59688
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 11.10/11.21/11.31 | fps 59.7 | tri 1152 | fill 624 win 988 under 0 | synth 604 cy/pump 8.67 Mcy/s 361 cy/sample | pump worst 36.42 us peak 36.63 us | last_us prep=857 wait=2672 field=1414 mesh=4011 other=2345 texels=61336
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.31/11.37/11.44 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 606 cy/pump 8.69 Mcy/s 362 cy/sample | pump worst 36.35 us peak 36.63 us | last_us prep=855 wait=2673 field=1413 mesh=4104 other=2351 texels=62272
