SELFTEST accelerator=0 (real SIO registers)
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.75/10.84/10.95 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3003 cy/pump 43.06 Mcy/s 1794 cy/sample | pump worst 200.73 us peak 226.65 us | AHASH s=936000 2cb8f3a8 | last_us prep=867 wait=2696 field=1411 mesh=3613 other=2336 texels=57824
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 10.92/11.03/11.14 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3191 cy/pump 45.76 Mcy/s 1907 cy/sample | pump worst 199.96 us peak 226.65 us | AHASH s=960000 ac1f6b61 | last_us prep=857 wait=2705 field=1412 mesh=3815 other=2340 texels=59690
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 11.13/11.24/11.35 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3136 cy/pump 44.98 Mcy/s 1874 cy/sample | pump worst 226.85 us peak 226.85 us | AHASH s=984000 7d9a66e0 | last_us prep=857 wait=2715 field=1413 mesh=4016 other=2351 texels=61338
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.33/11.40/11.50 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3197 cy/pump 45.85 Mcy/s 1910 cy/sample | pump worst 191.00 us peak 226.85 us | AHASH s=1008000 28199a98 | last_us prep=859 wait=2715 field=1412 mesh=4105 other=2353 texels=62270
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 11.39/11.43/11.58 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3183 cy/pump 45.64 Mcy/s 1902 cy/sample | pump worst 212.27 us peak 226.85 us | AHASH s=1032000 9add302a | last_us prep=858 wait=2708 field=1411 mesh=4075 other=2356 texels=62226
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.27/11.35/11.56 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3075 cy/pump 44.10 Mcy/s 1837 cy/sample | pump worst 185.00 us peak 226.85 us | AHASH s=1056000 1e28e9ed | last_us prep=867 wait=2706 field=1412 mesh=3941 other=2361 texels=61344
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 11.19/11.23/11.45 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 2998 cy/pump 42.99 Mcy/s 1791 cy/sample | pump worst 201.73 us peak 226.85 us | AHASH s=1080000 3c7d4ec6 | last_us prep=854 wait=2705 field=1412 mesh=3866 other=2364 texels=61058
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.20/11.25/11.37 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3195 cy/pump 45.81 Mcy/s 1909 cy/sample | pump worst 190.99 us peak 226.85 us | AHASH s=1104000 e1c23e65 | last_us prep=863 wait=2697 field=1412 mesh=3944 other=2378 texels=61504
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 11.28/11.35/11.44 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3030 cy/pump 43.46 Mcy/s 1810 cy/sample | pump worst 199.56 us peak 226.85 us | AHASH s=1128000 d653cc4b | last_us prep=855 wait=2720 field=1412 mesh=4062 other=2369 texels=62850
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 11.40/14.02/16.42 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3082 cy/pump 44.20 Mcy/s 1841 cy/sample | pump worst 193.10 us peak 226.85 us | AHASH s=1152000 d551acbe | last_us prep=880 wait=2677 field=0 mesh=5348 other=7417 texels=35182
T t=49.1 bar=24 sec=2 dma=1 interp=1 | render ms 13.55/14.70/16.52 | fps 58.7 | tri 1151 | fill 623 win 988 under 0 | synth 3032 cy/pump 43.48 Mcy/s 1812 cy/sample | pump worst 201.00 us peak 226.85 us | AHASH s=1176000 6a4c0629 | last_us prep=875 wait=2681 field=0 mesh=5313 other=4719 texels=32886
T t=50.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.53/13.58/13.75 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3082 cy/pump 44.19 Mcy/s 1841 cy/sample | pump worst 188.86 us peak 226.85 us | AHASH s=1200000 a08fa215 | last_us prep=881 wait=2677 field=0 mesh=5288 other=4724 texels=32570
T t=51.1 bar=25 sec=2 dma=1 interp=1 | render ms 13.52/13.58/13.74 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3060 cy/pump 43.88 Mcy/s 1828 cy/sample | pump worst 224.29 us peak 226.85 us | AHASH s=1224000 9264ba64 | last_us prep=878 wait=2692 field=0 mesh=5355 other=4729 texels=34148
T t=52.1 bar=26 sec=2 dma=1 interp=1 | render ms 13.63/13.73/13.83 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2946 cy/pump 42.25 Mcy/s 1760 cy/sample | pump worst 176.74 us peak 226.85 us | AHASH s=1248000 18ee20fb | last_us prep=882 wait=2683 field=0 mesh=5540 other=4723 texels=37354
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 13.80/13.91/14.01 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2874 cy/pump 41.21 Mcy/s 1717 cy/sample | pump worst 194.43 us peak 226.85 us | AHASH s=1272000 a8991741 | last_us prep=880 wait=2686 field=0 mesh=5736 other=4711 texels=40730
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.00/14.12/14.24 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3086 cy/pump 44.26 Mcy/s 1844 cy/sample | pump worst 191.06 us peak 226.85 us | AHASH s=1296000 57fec29a | last_us prep=886 wait=2714 field=0 mesh=5939 other=4701 texels=43566
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 14.18/14.26/14.34 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3015 cy/pump 43.24 Mcy/s 1802 cy/sample | pump worst 200.09 us peak 226.85 us | AHASH s=1320000 085403c0 | last_us prep=881 wait=2683 field=0 mesh=6043 other=4690 texels=44474
