T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 14.27/14.34/14.42 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3232 cy/pump 46.35 Mcy/s 1930 cy/sample | pump worst 218.69 us peak 233.50 us | AHASH s=792000 7e177c80 | last_us prep=6023 wait=2 field=1356 mesh=2785 other=4212 texels=51018
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 14.34/14.41/14.50 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3406 cy/pump 48.85 Mcy/s 2036 cy/sample | pump worst 231.61 us peak 233.50 us | AHASH s=816000 54124986 | last_us prep=5984 wait=2 field=1356 mesh=2894 other=4221 texels=52240
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 14.47/14.55/14.64 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3345 cy/pump 47.98 Mcy/s 1999 cy/sample | pump worst 218.57 us peak 233.50 us | AHASH s=840000 1849291d | last_us prep=5976 wait=1 field=1354 mesh=3049 other=4238 texels=53784
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 14.63/14.70/14.78 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3422 cy/pump 49.07 Mcy/s 2045 cy/sample | pump worst 209.99 us peak 233.50 us | AHASH s=864000 949e9bd3 | last_us prep=5995 wait=2 field=1356 mesh=3150 other=4241 texels=54898
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 14.73/14.78/14.88 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3400 cy/pump 48.76 Mcy/s 2031 cy/sample | pump worst 225.77 us peak 233.50 us | AHASH s=888000 bfc55096 | last_us prep=5977 wait=1 field=1353 mesh=3217 other=4256 texels=55574
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 14.80/14.89/15.00 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3291 cy/pump 47.20 Mcy/s 1967 cy/sample | pump worst 207.69 us peak 233.50 us | AHASH s=912000 aa750f33 | last_us prep=5975 wait=1 field=1357 mesh=3340 other=4267 texels=56582
T t=39.1 bar=19 sec=1 dma=1 interp=1 | render ms 14.93/15.03/15.12 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3210 cy/pump 46.04 Mcy/s 1918 cy/sample | pump worst 208.04 us peak 233.50 us | AHASH s=936000 2cb8f3a8 | last_us prep=5962 wait=1 field=1353 mesh=3501 other=4279 texels=57858
T t=40.1 bar=20 sec=1 dma=1 interp=1 | render ms 15.12/15.22/15.35 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3421 cy/pump 49.06 Mcy/s 2044 cy/sample | pump worst 212.04 us peak 233.50 us | AHASH s=960000 ac1f6b61 | last_us prep=5981 wait=2 field=1356 mesh=3688 other=4285 texels=59684
T t=41.1 bar=20 sec=1 dma=1 interp=1 | render ms 15.32/15.43/15.55 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3354 cy/pump 48.11 Mcy/s 2003 cy/sample | pump worst 225.69 us peak 233.50 us | AHASH s=984000 7d9a66e0 | last_us prep=5996 wait=1 field=1357 mesh=3880 other=4296 texels=61332
T t=42.1 bar=21 sec=1 dma=1 interp=1 | render ms 15.52/15.60/15.70 | fps 59.7 | tri 1150 | fill 623 win 987 under 0 | synth 3425 cy/pump 49.11 Mcy/s 2046 cy/sample | pump worst 222.21 us peak 233.50 us | AHASH s=1008000 28199a98 | last_us prep=5972 wait=2 field=1361 mesh=3970 other=4302 texels=62252
T t=43.1 bar=21 sec=1 dma=1 interp=1 | render ms 15.55/15.63/15.74 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3394 cy/pump 48.67 Mcy/s 2028 cy/sample | pump worst 226.90 us peak 233.50 us | AHASH s=1032000 9add302a | last_us prep=5993 wait=1 field=1354 mesh=3940 other=4307 texels=62234
T t=44.1 bar=22 sec=1 dma=1 interp=1 | render ms 15.47/15.56/15.76 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3289 cy/pump 47.17 Mcy/s 1966 cy/sample | pump worst 207.73 us peak 233.50 us | AHASH s=1056000 1e28e9ed | last_us prep=5999 wait=2 field=1357 mesh=3809 other=4317 texels=61338
T t=45.1 bar=22 sec=1 dma=1 interp=1 | render ms 15.38/15.44/15.63 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3205 cy/pump 45.96 Mcy/s 1914 cy/sample | pump worst 206.42 us peak 233.50 us | AHASH s=1080000 3c7d4ec6 | last_us prep=5999 wait=2 field=1353 mesh=3747 other=4323 texels=61112
T t=46.1 bar=23 sec=1 dma=1 interp=1 | render ms 15.37/15.47/15.58 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3423 cy/pump 49.08 Mcy/s 2045 cy/sample | pump worst 216.65 us peak 233.50 us | AHASH s=1104000 e1c23e65 | last_us prep=6002 wait=2 field=1359 mesh=3814 other=4322 texels=61484
T t=47.1 bar=23 sec=1 dma=1 interp=1 | render ms 15.48/15.57/15.69 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3251 cy/pump 46.62 Mcy/s 1942 cy/sample | pump worst 211.42 us peak 233.50 us | AHASH s=1128000 d653cc4b | last_us prep=6047 wait=1 field=1356 mesh=3956 other=4328 texels=62828
T t=48.1 bar=24 sec=2 dma=1 interp=1 | render ms 15.60/24.87/33.14 | fps 35.8 | tri 1151 | fill 623 win 988 under 0 | synth 2977 cy/pump 42.69 Mcy/s 1809 cy/sample | pump worst 205.43 us peak 233.50 us | AHASH s=1152000 d551acbe | last_us prep=6066 wait=2 field=0 mesh=5163 other=21909 texels=35182
T t=49.2 bar=24 sec=2 dma=1 interp=1 | render ms 20.44/25.55/33.21 | fps 29.3 | tri 1151 | fill 623 win 988 under 0 | synth 2860 cy/pump 41.01 Mcy/s 1708 cy/sample | pump worst 230.40 us peak 233.50 us | AHASH s=1176000 6a4c0629 | last_us prep=6042 wait=2 field=0 mesh=5127 other=9345 texels=32838
T t=50.2 bar=25 sec=2 dma=1 interp=1 | render ms 20.45/20.51/20.64 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2907 cy/pump 41.69 Mcy/s 1737 cy/sample | pump worst 218.70 us peak 233.50 us | AHASH s=1200000 a08fa215 | last_us prep=6053 wait=2 field=0 mesh=5110 other=9360 texels=32582
T t=51.2 bar=25 sec=2 dma=1 interp=1 | render ms 20.44/20.52/20.65 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2884 cy/pump 41.36 Mcy/s 1723 cy/sample | pump worst 193.31 us peak 233.50 us | AHASH s=1224000 9264ba64 | last_us prep=6080 wait=1 field=0 mesh=5174 other=9362 texels=34220
T t=52.2 bar=26 sec=2 dma=1 interp=1 | render ms 20.57/20.68/20.79 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2769 cy/pump 39.72 Mcy/s 1655 cy/sample | pump worst 197.05 us peak 233.50 us | AHASH s=1248000 18ee20fb | last_us prep=6042 wait=2 field=0 mesh=5360 other=9353 texels=37422
T t=53.2 bar=26 sec=2 dma=1 interp=1 | render ms 20.76/20.85/20.96 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2702 cy/pump 38.75 Mcy/s 1615 cy/sample | pump worst 189.14 us peak 233.50 us | AHASH s=1272000 a8991741 | last_us prep=6071 wait=1 field=0 mesh=5551 other=9331 texels=40774
T t=54.2 bar=27 sec=2 dma=1 interp=1 | render ms 20.94/21.04/21.15 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2901 cy/pump 41.61 Mcy/s 1734 cy/sample | pump worst 231.56 us peak 233.50 us | AHASH s=1296000 57fec29a | last_us prep=6044 wait=2 field=0 mesh=5733 other=9313 texels=43598
T t=55.2 bar=27 sec=2 dma=1 interp=1 | render ms 21.11/21.16/21.25 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2846 cy/pump 40.81 Mcy/s 1700 cy/sample | pump worst 235.38 us peak 235.38 us | AHASH s=1320000 085403c0 | last_us prep=6012 wait=1 field=0 mesh=5825 other=9304 texels=44424
T t=56.2 bar=28 sec=2 dma=1 interp=1 | render ms 21.01/21.11/21.31 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2909 cy/pump 41.71 Mcy/s 1738 cy/sample | pump worst 203.14 us peak 235.38 us | AHASH s=1344000 3ae3bec3 | last_us prep=6025 wait=2 field=0 mesh=5679 other=9297 texels=42252
T t=57.2 bar=28 sec=2 dma=1 interp=1 | render ms 20.65/20.87/21.15 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2873 cy/pump 41.20 Mcy/s 1716 cy/sample | pump worst 206.72 us peak 235.38 us | AHASH s=1368000 9306c33b | last_us prep=6040 wait=2 field=0 mesh=5346 other=9324 texels=38346
T t=58.2 bar=29 sec=2 dma=1 interp=1 | render ms 20.50/20.61/20.85 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2764 cy/pump 39.64 Mcy/s 1652 cy/sample | pump worst 197.00 us peak 235.38 us | AHASH s=1392000 6c4eef5e | last_us prep=6070 wait=2 field=0 mesh=5126 other=9346 texels=35864
T t=59.2 bar=29 sec=2 dma=1 interp=1 | render ms 20.36/20.45/20.62 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2710 cy/pump 38.86 Mcy/s 1619 cy/sample | pump worst 185.15 us peak 235.38 us | AHASH s=1416000 c4e6d69f | last_us prep=6045 wait=1 field=0 mesh=4951 other=9360 texels=33838
T t=60.2 bar=30 sec=2 dma=1 interp=1 | render ms 20.28/20.33/20.51 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2892 cy/pump 41.48 Mcy/s 1728 cy/sample | pump worst 194.08 us peak 235.38 us | AHASH s=1440000 e033e03e | last_us prep=6018 wait=1 field=0 mesh=4924 other=9364 texels=32844
T t=61.2 bar=30 sec=2 dma=1 interp=1 | render ms 20.33/20.38/20.46 | fps 29.8 | tri 1148 | fill 623 win 988 under 0 | synth 2857 cy/pump 40.97 Mcy/s 1707 cy/sample | pump worst 234.15 us peak 235.38 us | AHASH s=1464000 8511090b | last_us prep=6036 wait=1 field=0 mesh=5013 other=9361 texels=33039
T t=62.2 bar=31 sec=2 dma=1 interp=1 | render ms 20.41/20.53/20.65 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2903 cy/pump 41.63 Mcy/s 1734 cy/sample | pump worst 206.53 us peak 235.38 us | AHASH s=1488000 cd59b295 | last_us prep=6046 wait=1 field=0 mesh=5234 other=9360 texels=35348
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 20.68/20.80/20.94 | fps 29.8 | tri 1149 | fill 623 win 988 under 0 | synth 2878 cy/pump 41.28 Mcy/s 1719 cy/sample | pump worst 215.30 us peak 235.38 us | AHASH s=1512000 b5cecce8 | last_us prep=6037 wait=1 field=0 mesh=5540 other=9346 texels=39200
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 20.94/21.05/21.13 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2856 cy/pump 40.96 Mcy/s 1706 cy/sample | pump worst 199.66 us peak 235.38 us | AHASH s=1536000 acaee972 | last_us prep=6067 wait=1 field=0 mesh=5737 other=9318 texels=42198
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 21.08/21.14/21.24 | fps 29.8 | tri 1151 | fill 623 win 986 under 0 | synth 2865 cy/pump 41.09 Mcy/s 1712 cy/sample | pump worst 205.83 us peak 235.38 us | AHASH s=1560000 f2d1a175 | last_us prep=6025 wait=2 field=0 mesh=5796 other=9298 texels=43578
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 21.08/21.12/21.27 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 2793 cy/pump 40.06 Mcy/s 1669 cy/sample | pump worst 190.05 us peak 235.38 us | AHASH s=1584000 f4b464e5 | last_us prep=6076 wait=2 field=0 mesh=5740 other=9297 texels=43448
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 20.92/21.06/21.26 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2920 cy/pump 41.87 Mcy/s 1744 cy/sample | pump worst 201.09 us peak 235.38 us | AHASH s=1608000 ab894df0 | last_us prep=6012 wait=1 field=0 mesh=5592 other=9316 texels=40952
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 20.78/20.88/21.10 | fps 29.8 | tri 1148 | fill 623 win 988 under 0 | synth 2920 cy/pump 41.88 Mcy/s 1744 cy/sample | pump worst 199.48 us peak 235.38 us | AHASH s=1632000 5c19c873 | last_us prep=6090 wait=1 field=0 mesh=5388 other=9337 texels=36442
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 20.63/20.72/20.96 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2912 cy/pump 41.76 Mcy/s 1740 cy/sample | pump worst 209.02 us peak 235.38 us | AHASH s=1656000 dd19872a | last_us prep=6038 wait=1 field=0 mesh=5250 other=9366 texels=33036
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 20.59/20.65/20.80 | fps 29.8 | tri 1150 | fill 623 win 988 under 0 | synth 2885 cy/pump 41.37 Mcy/s 1723 cy/sample | pump worst 229.25 us peak 235.38 us | AHASH s=1680000 c39ec861 | last_us prep=6068 wait=2 field=0 mesh=5194 other=9364 texels=31665
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 20.61/20.67/20.77 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2977 cy/pump 42.69 Mcy/s 1778 cy/sample | pump worst 219.39 us peak 235.38 us | AHASH s=1704000 e943efc1 | last_us prep=6015 wait=2 field=0 mesh=5273 other=9379 texels=32498
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 20.67/20.73/20.84 | fps 29.8 | tri 1151 | fill 623 win 988 under 0 | synth 3006 cy/pump 43.12 Mcy/s 1797 cy/sample | pump worst 200.80 us peak 235.38 us | AHASH s=1728000 ca78b6dc | last_us prep=6107 wait=2 field=0 mesh=5364 other=9366 texels=34506
T t=73.3 bar=36 sec=2 dma=1 interp=1 | render ms 20.77/20.88/20.99 | fps 29.8 | tri 1152 | fill 623 win 988 under 0 | synth 2863 cy/pump 41.06 Mcy/s 1710 cy/sample | pump worst 201.58 us peak 235.38 us | AHASH s=1752000 ceb4cb9f | last_us prep=6038 wait=2 field=0 mesh=5565 other=9352 texels=37840
