
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 13.32/13.40/13.52 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3068 cy/pump 43.99 Mcy/s 1833 cy/sample | pump worst 190.08 us peak 217.13 us | AHASH s=696000 09e617c9 | last_us prep=5460 wait=0 field=1385 mesh=2460 other=4131 texels=47640
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 13.42/13.53/13.64 | fps 59.7 | tri 1150 | fill 623 win 987 under 0 | synth 3264 cy/pump 46.81 Mcy/s 1950 cy/sample | pump worst 219.66 us peak 219.66 us | AHASH s=720000 be19da37 | last_us prep=5441 wait=0 field=1387 mesh=2590 other=4145 texels=48596
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 13.59/13.66/13.78 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3192 cy/pump 45.78 Mcy/s 1907 cy/sample | pump worst 204.89 us peak 219.66 us | AHASH s=744000 52be3c85 | last_us prep=5478 wait=0 field=1387 mesh=2714 other=4158 texels=49496
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 13.71/13.78/13.94 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3277 cy/pump 46.99 Mcy/s 1957 cy/sample | pump worst 221.45 us peak 221.45 us | AHASH s=768000 55e15374 | last_us prep=5526 wait=0 field=1387 mesh=2786 other=4171 texels=50152
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 13.82/13.88/14.01 | fps 59.7 | tri 1148 | fill 623 win 987 under 0 | synth 3094 cy/pump 44.37 Mcy/s 1849 cy/sample | pump worst 196.08 us peak 221.45 us | AHASH s=792000 7e177c80 | last_us prep=5480 wait=1 field=1386 mesh=2850 other=4186 texels=51018
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 13.89/13.97/14.10 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3270 cy/pump 46.89 Mcy/s 1954 cy/sample | pump worst 204.69 us peak 221.45 us | AHASH s=816000 54124986 | last_us prep=5469 wait=0 field=1386 mesh=2963 other=4198 texels=52242
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 14.02/14.11/14.19 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3221 cy/pump 46.19 Mcy/s 1924 cy/sample | pump worst 199.23 us peak 221.45 us | AHASH s=840000 1849291d | last_us prep=5477 wait=0 field=1386 mesh=3123 other=4206 texels=53778
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 14.16/14.26/14.36 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3280 cy/pump 47.04 Mcy/s 1959 cy/sample | pump worst 208.73 us peak 221.45 us | AHASH s=864000 949e9bd3 | last_us prep=5441 wait=0 field=1386 mesh=3232 other=4217 texels=54902
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 14.27/14.35/14.49 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3261 cy/pump 46.77 Mcy/s 1949 cy/sample | pump worst 199.07 us peak 221.45 us | AHASH s=888000 bfc55096 | last_us prep=5468 wait=0 field=1386 mesh=3294 other=4229 texels=55560
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 14.36/14.46/14.60 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3163 cy/pump 45.37 Mcy/s 1890 cy/sample | pump worst 201.29 us peak 221.45 us | AHASH s=912000 aa750f33 | last_us prep=5498 wait=0 field=1386 mesh=3430 other=4241 texels=56584
