SELFTEST accelerator=0 (software model)
T t=41.1 bar=20 sec=1 dma=0 interp=0 | render ms 13.07/13.22/13.36 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3110 cy/pump 44.61 Mcy/s 1858 cy/sample | pump worst 177.58 us peak 225.96 us | AHASH s=984000 7d9a66e0 | last_us prep=4578 wait=0 field=1954 mesh=4413 other=2361 texels=61336
T t=42.1 bar=21 sec=1 dma=0 interp=0 | render ms 13.32/13.40/13.48 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3169 cy/pump 45.45 Mcy/s 1893 cy/sample | pump worst 209.89 us peak 225.96 us | AHASH s=1008000 28199a98 | last_us prep=4565 wait=0 field=1953 mesh=4519 other=2363 texels=62270
T t=43.1 bar=21 sec=1 dma=0 interp=0 | render ms 13.39/13.44/13.56 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3156 cy/pump 45.26 Mcy/s 1885 cy/sample | pump worst 196.10 us peak 225.96 us | AHASH s=1032000 9add302a | last_us prep=4604 wait=0 field=1955 mesh=4486 other=2373 texels=62226
T t=44.1 bar=22 sec=1 dma=0 interp=0 | render ms 13.24/13.34/13.49 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3044 cy/pump 43.66 Mcy/s 1819 cy/sample | pump worst 204.00 us peak 225.96 us | AHASH s=1056000 1e28e9ed | last_us prep=4604 wait=0 field=1953 mesh=4326 other=2374 texels=61336
T t=45.1 bar=22 sec=1 dma=0 interp=0 | render ms 13.15/13.21/13.35 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 2974 cy/pump 42.65 Mcy/s 1777 cy/sample | pump worst 171.73 us peak 225.96 us | AHASH s=1080000 3c7d4ec6 | last_us prep=4588 wait=0 field=1952 mesh=4256 other=2382 texels=61098
T t=46.1 bar=23 sec=1 dma=0 interp=0 | render ms 13.17/13.24/13.32 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3171 cy/pump 45.48 Mcy/s 1895 cy/sample | pump worst 221.47 us peak 225.96 us | AHASH s=1104000 e1c23e65 | last_us prep=4618 wait=0 field=1953 mesh=4338 other=2379 texels=61504
T t=47.1 bar=23 sec=1 dma=0 interp=0 | render ms 13.25/13.34/13.42 | fps 59.7 | tri 1151 | fill 623 win 986 under 0 | synth 2999 cy/pump 43.01 Mcy/s 1791 cy/sample | pump worst 173.45 us peak 225.96 us | AHASH s=1128000 d653cc4b | last_us prep=4584 wait=0 field=1954 mesh=4480 other=2381 texels=62848
T t=48.1 bar=24 sec=2 dma=0 interp=0 | render ms 13.39/15.63/17.92 | fps 53.8 | tri 1151 | fill 623 win 988 under 0 | synth 3005 cy/pump 43.09 Mcy/s 1825 cy/sample | pump worst 204.27 us peak 225.96 us | AHASH s=1152000 d551acbe | last_us prep=4636 wait=0 field=0 mesh=5965 other=7321 texels=35176
T t=49.2 bar=24 sec=2 dma=0 interp=0 | render ms 15.22/15.90/17.88 | fps 47.8 | tri 1151 | fill 623 win 988 under 0 | synth 2912 cy/pump 41.76 Mcy/s 1711 cy/sample | pump worst 172.61 us peak 225.96 us | AHASH s=1176000 6a4c0629 | last_us prep=4607 wait=0 field=0 mesh=5902 other=4772 texels=32838
T t=50.2 bar=25 sec=2 dma=0 interp=0 | render ms 15.18/15.25/15.31 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3061 cy/pump 43.90 Mcy/s 1829 cy/sample | pump worst 209.29 us peak 225.96 us | AHASH s=1200000 a08fa215 | last_us prep=4657 wait=0 field=0 mesh=5879 other=4769 texels=32582
T t=51.2 bar=25 sec=2 dma=0 interp=0 | render ms 15.19/15.26/15.40 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3037 cy/pump 43.55 Mcy/s 1815 cy/sample | pump worst 173.07 us peak 225.96 us | AHASH s=1224000 9264ba64 | last_us prep=4605 wait=0 field=0 mesh=5965 other=4771 texels=34218
T t=52.2 bar=26 sec=2 dma=0 interp=0 | render ms 15.31/15.45/15.60 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 2916 cy/pump 41.82 Mcy/s 1742 cy/sample | pump worst 190.91 us peak 225.96 us | AHASH s=1248000 18ee20fb | last_us prep=4628 wait=0 field=0 mesh=6203 other=4769 texels=37426
T t=53.2 bar=26 sec=2 dma=0 interp=0 | render ms 15.54/15.68/15.82 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2857 cy/pump 40.97 Mcy/s 1706 cy/sample | pump worst 172.87 us peak 225.96 us | AHASH s=1272000 a8991741 | last_us prep=4615 wait=0 field=0 mesh=6449 other=4756 texels=40790
