
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 11.39/11.50/11.58 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 2971 cy/pump 42.61 Mcy/s 1775 cy/sample | pump worst 186.84 us peak 226.82 us | AHASH s=696000 09e617c9 | last_us prep=855 wait=2701 field=1397 mesh=2462 other=4131 texels=47638
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 11.56/11.64/11.72 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 3182 cy/pump 45.64 Mcy/s 1900 cy/sample | pump worst 211.08 us peak 226.82 us | AHASH s=720000 be19da37 | last_us prep=856 wait=2705 field=1395 mesh=2591 other=4145 texels=48618
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 11.70/11.77/11.87 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 3100 cy/pump 44.46 Mcy/s 1852 cy/sample | pump worst 191.32 us peak 226.82 us | AHASH s=744000 52be3c85 | last_us prep=855 wait=2695 field=1397 mesh=2717 other=4158 texels=49495
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 11.82/11.88/12.05 | fps 59.7 | tri 1148 | fill 624 win 988 under 0 | synth 3194 cy/pump 45.80 Mcy/s 1908 cy/sample | pump worst 206.38 us peak 226.82 us | AHASH s=768000 55e15374 | last_us prep=856 wait=2705 field=1396 mesh=2786 other=4171 texels=50148
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 11.91/11.96/12.10 | fps 59.7 | tri 1148 | fill 624 win 988 under 0 | synth 3006 cy/pump 43.11 Mcy/s 1796 cy/sample | pump worst 184.63 us peak 226.82 us | AHASH s=792000 7e177c80 | last_us prep=854 wait=2712 field=1396 mesh=2851 other=4187 texels=51014
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 11.98/12.05/12.20 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 3187 cy/pump 45.71 Mcy/s 1904 cy/sample | pump worst 217.67 us peak 226.82 us | AHASH s=816000 54124986 | last_us prep=852 wait=2720 field=1396 mesh=2964 other=4199 texels=52240
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 12.11/12.21/12.30 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 3131 cy/pump 44.90 Mcy/s 1871 cy/sample | pump worst 190.54 us peak 226.82 us | AHASH s=840000 1849291d | last_us prep=846 wait=2725 field=1397 mesh=3124 other=4209 texels=53778
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 12.30/12.37/12.46 | fps 59.7 | tri 1150 | fill 624 win 988 under 0 | synth 3200 cy/pump 45.89 Mcy/s 1912 cy/sample | pump worst 225.74 us peak 226.82 us | AHASH s=864000 949e9bd3 | last_us prep=852 wait=2719 field=1396 mesh=3234 other=4214 texels=54896
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 12.41/12.45/12.59 | fps 59.7 | tri 1151 | fill 624 win 988 under 0 | synth 3176 cy/pump 45.55 Mcy/s 1898 cy/sample | pump worst 192.11 us peak 226.82 us | AHASH s=888000 bfc55096 | last_us prep=865 wait=2696 field=1396 mesh=3295 other=4228 texels=55554
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 12.48/12.56/12.67 | fps 59.7 | tri 1149 | fill 624 win 988 under 0 | synth 3073 cy/pump 44.07 Mcy/s 1836 cy/sample | pump worst 235.92 us peak 235.92 us | AHASH s=912000 aa750f33 | last_us prep=853 wait=2726 field=1395 mesh=3427 other=4251 texels=56582
