
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 13.76/13.86/13.97 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3196 cy/pump 45.83 Mcy/s 1909 cy/sample | pump worst 212.09 us peak 229.17 us | AHASH s=696000 09e617c9 | last_us prep=6010 wait=1 field=1359 mesh=2408 other=4157 texels=47648
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 13.89/13.99/14.09 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3404 cy/pump 48.81 Mcy/s 2033 cy/sample | pump worst 217.98 us peak 229.17 us | AHASH s=720000 be19da37 | last_us prep=5995 wait=2 field=1355 mesh=2529 other=4171 texels=48610
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 14.03/14.11/14.23 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3322 cy/pump 47.64 Mcy/s 1984 cy/sample | pump worst 220.95 us peak 229.17 us | AHASH s=744000 52be3c85 | last_us prep=5958 wait=2 field=1359 mesh=2649 other=4179 texels=49492
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 14.15/14.23/14.34 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3424 cy/pump 49.10 Mcy/s 2045 cy/sample | pump worst 209.56 us peak 229.17 us | AHASH s=768000 55e15374 | last_us prep=6002 wait=2 field=1355 mesh=2721 other=4196 texels=50144
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 14.28/14.33/14.43 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3223 cy/pump 46.22 Mcy/s 1925 cy/sample | pump worst 215.57 us peak 229.17 us | AHASH s=792000 7e177c80 | last_us prep=6007 wait=2 field=1353 mesh=2783 other=4212 texels=51018
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 14.35/14.41/14.49 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3405 cy/pump 48.83 Mcy/s 2034 cy/sample | pump worst 223.95 us peak 229.17 us | AHASH s=816000 54124986 | last_us prep=5977 wait=1 field=1358 mesh=2892 other=4225 texels=52240
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 14.44/14.55/14.62 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3341 cy/pump 47.91 Mcy/s 1996 cy/sample | pump worst 213.33 us peak 229.17 us | AHASH s=840000 1849291d | last_us prep=5981 wait=1 field=1353 mesh=3045 other=4241 texels=53784
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 14.61/14.70/14.80 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3418 cy/pump 49.02 Mcy/s 2042 cy/sample | pump worst 208.98 us peak 229.17 us | AHASH s=864000 949e9bd3 | last_us prep=6008 wait=1 field=1355 mesh=3152 other=4241 texels=54898
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 14.72/14.78/14.87 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3395 cy/pump 48.69 Mcy/s 2028 cy/sample | pump worst 223.51 us peak 229.17 us | AHASH s=888000 bfc55096 | last_us prep=5970 wait=1 field=1353 mesh=3217 other=4259 texels=55574
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 14.80/14.89/15.00 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3288 cy/pump 47.16 Mcy/s 1965 cy/sample | pump worst 212.93 us peak 229.17 us | AHASH s=912000 aa750f33 | last_us prep=5985 wait=1 field=1356 mesh=3341 other=4268 texels=56582
