SELFTEST accelerator=0 (real SIO registers)
T t=29.1 bar=14 sec=1 dma=1 interp=1 | render ms 9.58/9.65/9.72 | fps 59.7 | tri 1144 | fill 623 win 988 under 0 | synth 2978 cy/pump 42.70 Mcy/s 1780 cy/sample | pump worst 185.64 us peak 244.73 us | AHASH s=696000 09e617c9 | last_us prep=861 wait=2701 field=1413 mesh=2476 other=2253 texels=47652
T t=30.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.70/9.79/9.89 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3183 cy/pump 45.64 Mcy/s 1901 cy/sample | pump worst 226.00 us peak 244.73 us | AHASH s=720000 be19da37 | last_us prep=879 wait=2686 field=1410 mesh=2605 other=2261 texels=48586
T t=31.1 bar=15 sec=1 dma=1 interp=1 | render ms 9.84/9.92/10.02 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3107 cy/pump 44.56 Mcy/s 1856 cy/sample | pump worst 192.71 us peak 244.73 us | AHASH s=744000 52be3c85 | last_us prep=862 wait=2699 field=1412 mesh=2728 other=2270 texels=49470
T t=32.1 bar=16 sec=1 dma=1 interp=1 | render ms 9.97/10.02/10.14 | fps 59.7 | tri 1147 | fill 623 win 988 under 0 | synth 3198 cy/pump 45.86 Mcy/s 1910 cy/sample | pump worst 219.46 us peak 244.73 us | AHASH s=768000 55e15374 | last_us prep=877 wait=2692 field=1410 mesh=2800 other=2278 texels=50127
T t=33.1 bar=16 sec=1 dma=1 interp=1 | render ms 10.05/10.10/10.24 | fps 59.7 | tri 1143 | fill 623 win 988 under 0 | synth 3012 cy/pump 43.20 Mcy/s 1800 cy/sample | pump worst 186.61 us peak 244.73 us | AHASH s=792000 7e177c80 | last_us prep=861 wait=2709 field=1413 mesh=2870 other=2292 texels=51025
T t=34.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.13/10.19/10.32 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3182 cy/pump 45.63 Mcy/s 1901 cy/sample | pump worst 234.54 us peak 244.73 us | AHASH s=816000 54124986 | last_us prep=861 wait=2702 field=1412 mesh=2970 other=2297 texels=52206
T t=35.1 bar=17 sec=1 dma=1 interp=1 | render ms 10.25/10.35/10.43 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3137 cy/pump 44.98 Mcy/s 1873 cy/sample | pump worst 192.64 us peak 244.73 us | AHASH s=840000 1849291d | last_us prep=854 wait=2712 field=1413 mesh=3141 other=2306 texels=53704
T t=36.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.41/10.50/10.61 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3199 cy/pump 45.88 Mcy/s 1912 cy/sample | pump worst 221.88 us peak 244.73 us | AHASH s=864000 949e9bd3 | last_us prep=852 wait=2709 field=1410 mesh=3252 other=2308 texels=54842
T t=37.1 bar=18 sec=1 dma=1 interp=1 | render ms 10.53/10.58/10.72 | fps 59.7 | tri 1148 | fill 623 win 988 under 0 | synth 3176 cy/pump 45.55 Mcy/s 1898 cy/sample | pump worst 192.99 us peak 244.73 us | AHASH s=888000 bfc55096 | last_us prep=864 wait=2712 field=1412 mesh=3314 other=2320 texels=55574
T t=38.1 bar=19 sec=1 dma=1 interp=1 | render ms 10.62/10.69/10.78 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3075 cy/pump 44.10 Mcy/s 1838 cy/sample | pump worst 222.56 us peak 244.73 us | AHASH s=912000 aa750f33 | last_us prep=868 wait=2702 field=1411 mesh=3457 other=2326 texels=56596
