
BOOT HELION dma=1 interp=1 sys=300000000 Hz
SELFTEST accelerator=0 (real SIO registers)
T t=63.2 bar=31 sec=2 dma=1 interp=1 | render ms 13.70/13.87/14.02 | fps 59.7 | tri 1149 | fill 623 win 988 under 0 | synth 3054 cy/pump 43.79 Mcy/s 1824 cy/sample | pump worst 189.68 us peak 227.85 us | AHASH s=1512000 b5cecce8 | last_us prep=882 wait=2684 field=0 mesh=5736 other=4718 texels=39122
T t=64.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.02/14.13/14.22 | fps 59.7 | tri 1150 | fill 623 win 987 under 0 | synth 3024 cy/pump 43.36 Mcy/s 1807 cy/sample | pump worst 203.62 us peak 227.85 us | AHASH s=1536000 acaee972 | last_us prep=873 wait=2677 field=0 mesh=5937 other=4704 texels=42174
T t=65.2 bar=32 sec=2 dma=1 interp=1 | render ms 14.18/14.23/14.34 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3053 cy/pump 43.78 Mcy/s 1823 cy/sample | pump worst 202.45 us peak 227.85 us | AHASH s=1560000 f2d1a175 | last_us prep=884 wait=2667 field=0 mesh=6003 other=4708 texels=43550
T t=66.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.18/14.22/14.37 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 2980 cy/pump 42.73 Mcy/s 1780 cy/sample | pump worst 211.15 us peak 227.85 us | AHASH s=1584000 f4b464e5 | last_us prep=884 wait=2681 field=0 mesh=5951 other=4691 texels=43456
T t=67.2 bar=33 sec=2 dma=1 interp=1 | render ms 14.05/14.15/14.33 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3088 cy/pump 44.29 Mcy/s 1845 cy/sample | pump worst 189.97 us peak 227.85 us | AHASH s=1608000 ab894df0 | last_us prep=883 wait=2698 field=0 mesh=5796 other=4700 texels=41036
T t=68.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.84/13.96/14.16 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3088 cy/pump 44.29 Mcy/s 1845 cy/sample | pump worst 191.36 us peak 227.85 us | AHASH s=1632000 5c19c873 | last_us prep=884 wait=2677 field=0 mesh=5595 other=4714 texels=36506
T t=69.2 bar=34 sec=2 dma=1 interp=1 | render ms 13.70/13.78/13.98 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3104 cy/pump 44.51 Mcy/s 1854 cy/sample | pump worst 190.44 us peak 227.85 us | AHASH s=1656000 dd19872a | last_us prep=888 wait=2687 field=0 mesh=5431 other=4727 texels=33088
T t=70.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.65/13.70/13.84 | fps 59.7 | tri 1152 | fill 623 win 988 under 0 | synth 3067 cy/pump 43.98 Mcy/s 1832 cy/sample | pump worst 210.82 us peak 227.85 us | AHASH s=1680000 c39ec861 | last_us prep=889 wait=2673 field=0 mesh=5381 other=4737 texels=31694
T t=71.2 bar=35 sec=2 dma=1 interp=1 | render ms 13.66/13.71/13.87 | fps 59.7 | tri 1150 | fill 623 win 988 under 0 | synth 3147 cy/pump 45.13 Mcy/s 1880 cy/sample | pump worst 191.45 us peak 227.85 us | AHASH s=1704000 e943efc1 | last_us prep=882 wait=2702 field=0 mesh=5458 other=4738 texels=32472
T t=72.2 bar=36 sec=2 dma=1 interp=1 | render ms 13.73/13.78/13.90 | fps 59.7 | tri 1151 | fill 623 win 988 under 0 | synth 3185 cy/pump 45.67 Mcy/s 1903 cy/sample | pump worst 200.99 us peak 227.85 us | AHASH s=1728000 ca78b6dc | last_us prep=885 wait=2687 field=0 mesh=5556 other=4732 texels=34474
