opened COM10
bytes received: 24510


=== PERSISTENCE (LATENT) === sys_clk 300000000 Hz

[f= 5219 plane    ] line  3065/ 5476 cy (mean/worst) | slips 0 | prep  3562 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=2088000 d6be4cbd

[f= 5279 plane    ] line  3072/ 5467 cy (mean/worst) | slips 0 | prep  3584 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2112000 1dc520ac

[f= 5339 plane    ] line  3070/ 5466 cy (mean/worst) | slips 0 | prep  3548 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2136000 f174d24f

[f= 5399 plane    ] line  3062/ 5438 cy (mean/worst) | slips 0 | prep  3604 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.75 fps 23896 sps | AHASH s=2160000 f1051fe5

[f= 5459 plane    ] line  3057/ 5479 cy (mean/worst) | slips 0 | prep  3522 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2184000 249176d9

[f= 5519 plane    ] line  3056/ 5451 cy (mean/worst) | slips 0 | prep  3497 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2208000 3f538571

[f= 5579 plane    ] line  2487/ 5495 cy (mean/worst) | slips 0 | prep  3515 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2232000 44c40713

[f= 5638 split    ] line  2793/ 6035 cy (mean/worst) | slips 0 | prep 20909 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2256000 a5795ca7

[f= 5698 split    ] line  2888/ 6255 cy (mean/worst) | slips 0 | prep  2476 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2280000 e6699e0a

[f= 5758 split    ] line  2763/ 6041 cy (mean/worst) | slips 0 | prep  2467 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2304000 0eae328d

[f= 5818 split    ] line  2787/ 6030 cy (mean/worst) | slips 0 | prep  2480 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2328000 ff306a4f

[f= 5878 split    ] line  3338/ 6033 cy (mean/worst) | slips 0 | prep  2478 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2352000 f49fd5f7

[f= 5938 split    ] line  2011/ 6217 cy (mean/worst) | slips 0 | prep  2471 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2376000 80e21368

[f= 5998 split    ] line  3515/ 6037 cy (mean/worst) | slips 0 | prep  2474 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2400000 353af26b

[f= 6058 split    ] line  3311/ 6037 cy (mean/worst) | slips 0 | prep  2463 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2424000 9f1d9965

[f= 6118 split    ] line  3346/ 6047 cy (mean/worst) | slips 0 | prep  2462 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2448000 ef95d776

[f= 6178 split    ] line  3434/ 6251 cy (mean/worst) | slips 0 | prep  2464 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2472000 6a929463

[f= 6238 split    ] line  3952/ 6249 cy (mean/worst) | slips 0 | prep  2469 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2496000 2065ae00

[f= 6298 split    ] line  2466/ 6265 cy (mean/worst) | slips 0 | prep  2483 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2520000 09c69ed4

[f= 6358 split    ] line  3905/ 6251 cy (mean/worst) | slips 0 | prep  2471 us | lod 0 ev 0 | skip 1 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2544000 52130dad

[f= 6418 finale   ] line  3126/ 6260 cy (mean/worst) | slips 0 | prep 21163 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2568000 a93be0ad

[f= 6478 finale   ] line  3116/ 6452 cy (mean/worst) | slips 0 | prep  7399 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2592000 6b00cf59

[f= 6538 finale   ] line  3141/ 5835 cy (mean/worst) | slips 0 | prep  6455 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2616000 a5edab3a

[f= 6598 finale   ] line  3175/ 6043 cy (mean/worst) | slips 0 | prep  6811 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2640000 8cc69dbd

[f= 6658 finale   ] line  3247/ 5829 cy (mean/worst) | slips 0 | prep  6745 us | lod 0 ev 0 | skip 2 | ring 1153 | 59.74 fps 23896 sps | AHASH s=2664000 ec81cc59

