T t=35.1 bar=18 sec=1 smooth=1 interp=1 | render ms 60.24/60.48/60.97 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2936 cy/pump 42.11 Mcy/s 1755 cy/sample | pump worst 204.29 us peak 247.50 us | AHASH s=840000 ce2d6037
T t=36.1 bar=18 sec=1 smooth=1 interp=1 | render ms 61.32/62.00/62.64 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2951 cy/pump 42.32 Mcy/s 1763 cy/sample | pump worst 224.05 us peak 247.50 us | AHASH s=864000 4eccd0e0
T t=37.1 bar=19 sec=1 smooth=1 interp=1 | render ms 61.74/62.50/62.84 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2957 cy/pump 42.40 Mcy/s 1767 cy/sample | pump worst 253.88 us peak 253.88 us | AHASH s=888000 dfd678f9
T t=38.1 bar=19 sec=1 smooth=1 interp=1 | render ms 60.30/60.73/61.72 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2933 cy/pump 42.06 Mcy/s 1752 cy/sample | pump worst 188.89 us peak 253.88 us | AHASH s=912000 25c722ab
T t=39.1 bar=20 sec=1 smooth=1 interp=1 | render ms 60.42/61.03/61.88 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2933 cy/pump 42.06 Mcy/s 1752 cy/sample | pump worst 221.63 us peak 253.88 us | AHASH s=936000 fbadb011
T t=40.1 bar=20 sec=1 smooth=1 interp=1 | render ms 62.06/62.51/62.99 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2964 cy/pump 42.51 Mcy/s 1771 cy/sample | pump worst 212.17 us peak 253.88 us | AHASH s=960000 de61e0c1
T t=41.1 bar=21 sec=1 smooth=1 interp=1 | render ms 60.58/61.83/62.83 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2945 cy/pump 42.24 Mcy/s 1760 cy/sample | pump worst 229.37 us peak 253.88 us | AHASH s=984000 f79ec5e2
T t=42.1 bar=21 sec=1 smooth=1 interp=1 | render ms 60.01/60.14/60.53 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2922 cy/pump 41.91 Mcy/s 1746 cy/sample | pump worst 246.61 us peak 253.88 us | AHASH s=1008000 bfa0fdad
T t=43.1 bar=22 sec=1 smooth=1 interp=1 | render ms 60.31/61.03/61.65 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2953 cy/pump 42.35 Mcy/s 1764 cy/sample | pump worst 221.68 us peak 253.88 us | AHASH s=1032000 d31336a3
T t=44.1 bar=22 sec=1 smooth=1 interp=1 | render ms 61.74/62.21/62.60 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2967 cy/pump 42.55 Mcy/s 1773 cy/sample | pump worst 221.38 us peak 253.88 us | AHASH s=1056000 912579a7
T t=45.1 bar=23 sec=1 smooth=1 interp=1 | render ms 59.90/60.57/61.69 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2938 cy/pump 42.14 Mcy/s 1755 cy/sample | pump worst 214.22 us peak 253.88 us | AHASH s=1080000 8a70a16b
T t=46.1 bar=24 sec=2 smooth=1 interp=1 | render ms 59.95/60.28/60.90 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2931 cy/pump 42.04 Mcy/s 1751 cy/sample | pump worst 229.79 us peak 253.88 us | AHASH s=1104000 97edaddf
T t=47.1 bar=24 sec=2 smooth=1 interp=1 | render ms 61.13/63.23/66.32 | fps 14.9 | tri 2304 | fill 624 win 988 under 0 | synth 2981 cy/pump 42.75 Mcy/s 1781 cy/sample | pump worst 219.14 us peak 253.88 us | AHASH s=1128000 7feb3aa2
T t=48.1 bar=25 sec=2 smooth=1 interp=1 | render ms 66.98/69.99/72.67 | fps 11.9 | tri 2304 | fill 624 win 988 under 0 | synth 2903 cy/pump 41.63 Mcy/s 1764 cy/sample | pump worst 253.03 us peak 253.88 us | AHASH s=1152000 1a3884b6
T t=49.1 bar=25 sec=2 smooth=1 interp=1 | render ms 73.15/75.44/78.22 | fps 11.9 | tri 2304 | fill 624 win 988 under 0 | synth 2952 cy/pump 42.33 Mcy/s 1763 cy/sample | pump worst 209.86 us peak 253.88 us | AHASH s=1176000 bf0863e8
T t=50.2 bar=26 sec=2 smooth=1 interp=1 | render ms 78.95/83.56/89.85 | fps 11.0 | tri 2304 | fill 624 win 988 under 0 | synth 2921 cy/pump 41.90 Mcy/s 1772 cy/sample | pump worst 225.28 us peak 253.88 us | AHASH s=1200000 63e9ad1a
T t=51.2 bar=26 sec=2 smooth=1 interp=1 | render ms 91.34/94.98/97.35 | fps 9.9 | tri 2284 | fill 624 win 988 under 0 | synth 2850 cy/pump 40.88 Mcy/s 1703 cy/sample | pump worst 208.15 us peak 253.88 us | AHASH s=1224000 b5c5cb3a
T t=52.2 bar=27 sec=2 smooth=1 interp=1 | render ms 94.03/96.49/97.56 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 2855 cy/pump 40.95 Mcy/s 1706 cy/sample | pump worst 222.60 us peak 253.88 us | AHASH s=1248000 6157a516
T t=53.2 bar=27 sec=2 smooth=1 interp=1 | render ms 91.41/92.03/93.32 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 2872 cy/pump 41.18 Mcy/s 1716 cy/sample | pump worst 222.02 us peak 253.88 us | AHASH s=1272000 ab91ddd9
T t=54.2 bar=28 sec=2 smooth=1 interp=1 | render ms 93.01/96.33/99.13 | fps 9.9 | tri 2292 | fill 624 win 988 under 0 | synth 3126 cy/pump 44.83 Mcy/s 1868 cy/sample | pump worst 239.98 us peak 253.88 us | AHASH s=1296000 8baffc20
T t=55.2 bar=28 sec=2 smooth=1 interp=1 | render ms 99.39/99.53/99.70 | fps 9.9 | tri 2296 | fill 624 win 988 under 0 | synth 3273 cy/pump 46.93 Mcy/s 1955 cy/sample | pump worst 230.71 us peak 253.88 us | AHASH s=1320000 3b630348
T t=56.2 bar=29 sec=2 smooth=1 interp=1 | render ms 91.82/95.28/99.26 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3271 cy/pump 46.91 Mcy/s 1955 cy/sample | pump worst 244.60 us peak 253.88 us | AHASH s=1344000 edeb9639
T t=57.2 bar=29 sec=2 smooth=1 interp=1 | render ms 91.41/92.41/94.75 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3290 cy/pump 47.18 Mcy/s 1966 cy/sample | pump worst 219.88 us peak 253.88 us | AHASH s=1368000 17132e3e
T t=58.3 bar=30 sec=2 smooth=1 interp=1 | render ms 95.68/99.63/102.26 | fps 9.1 | tri 2298 | fill 624 win 988 under 0 | synth 3247 cy/pump 46.57 Mcy/s 1970 cy/sample | pump worst 263.62 us peak 263.62 us | AHASH s=1392000 aa2e3ea0
T t=59.4 bar=30 sec=2 smooth=1 interp=1 | render ms 95.35/99.58/102.17 | fps 9.1 | tri 2304 | fill 624 win 988 under 0 | synth 3238 cy/pump 46.43 Mcy/s 1905 cy/sample | pump worst 241.20 us peak 263.62 us | AHASH s=1416000 17240086
T t=60.4 bar=31 sec=2 smooth=1 interp=1 | render ms 91.60/92.35/94.42 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3276 cy/pump 46.98 Mcy/s 1957 cy/sample | pump worst 239.94 us peak 263.62 us | AHASH s=1440000 388937bb
T t=61.4 bar=31 sec=2 smooth=1 interp=1 | render ms 92.42/96.02/100.44 | fps 9.7 | tri 2304 | fill 624 win 988 under 0 | synth 3314 cy/pump 47.53 Mcy/s 2013 cy/sample | pump worst 242.01 us peak 263.62 us | AHASH s=1464000 2b15c05f
T t=62.4 bar=32 sec=2 smooth=1 interp=1 | render ms 100.42/101.34/101.82 | fps 8.6 | tri 2302 | fill 624 win 988 under 0 | synth 3447 cy/pump 49.42 Mcy/s 2026 cy/sample | pump worst 225.62 us peak 263.62 us | AHASH s=1488000 69d899e5
T t=63.5 bar=33 sec=2 smooth=1 interp=1 | render ms 92.40/96.07/99.98 | fps 9.7 | tri 2304 | fill 624 win 988 under 0 | synth 3505 cy/pump 50.27 Mcy/s 2094 cy/sample | pump worst 236.84 us peak 263.62 us | AHASH s=1512000 e6c2be9e
T t=64.5 bar=33 sec=2 smooth=1 interp=1 | render ms 91.51/92.56/94.86 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3527 cy/pump 50.58 Mcy/s 2107 cy/sample | pump worst 232.44 us peak 263.62 us | AHASH s=1536000 b5da9217
T t=65.5 bar=34 sec=2 smooth=1 interp=1 | render ms 95.81/98.30/99.24 | fps 9.9 | tri 2292 | fill 624 win 988 under 0 | synth 3511 cy/pump 50.35 Mcy/s 2098 cy/sample | pump worst 243.34 us peak 263.62 us | AHASH s=1560000 9e21f82e
T t=66.5 bar=34 sec=2 smooth=1 interp=1 | render ms 97.22/98.60/99.33 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3487 cy/pump 50.01 Mcy/s 2083 cy/sample | pump worst 227.56 us peak 263.62 us | AHASH s=1584000 7dc00414
T t=67.5 bar=35 sec=2 smooth=1 interp=1 | render ms 91.72/93.52/96.67 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3514 cy/pump 50.40 Mcy/s 2100 cy/sample | pump worst 255.68 us peak 263.62 us | AHASH s=1608000 44f57e29
T t=68.5 bar=35 sec=2 smooth=1 interp=1 | render ms 91.94/94.61/97.79 | fps 9.9 | tri 2304 | fill 624 win 988 under 0 | synth 3521 cy/pump 50.50 Mcy/s 2104 cy/sample | pump worst 242.49 us peak 263.62 us | AHASH s=1632000 a95540e7
