T t=57.1 bar=29 sec=2 smooth=1 interp=1 | render ms 91.66/92.47/94.32 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3217 cy/pump 46.14 Mcy/s 1923 cy/sample | pump worst 327.79 us peak 362.57 us | AHASH s=1368000 44187574
T t=58.2 bar=30 sec=2 smooth=1 interp=1 | render ms 95.30/99.33/102.56 | fps 9.3 | tri 2298 | fill 623 win 988 under 0 | synth 3193 cy/pump 45.79 Mcy/s 1939 cy/sample | pump worst 356.43 us peak 362.57 us | AHASH s=1392000 151e3447
T t=59.2 bar=30 sec=2 smooth=1 interp=1 | render ms 97.65/100.91/102.55 | fps 8.9 | tri 2304 | fill 623 win 988 under 0 | synth 3158 cy/pump 45.29 Mcy/s 1856 cy/sample | pump worst 335.12 us peak 362.57 us | AHASH s=1416000 ab06e483
T t=60.2 bar=31 sec=2 smooth=1 interp=1 | render ms 91.86/93.40/96.53 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3214 cy/pump 46.10 Mcy/s 1920 cy/sample | pump worst 393.66 us peak 393.66 us | AHASH s=1440000 1fa1a300
T t=61.2 bar=31 sec=2 smooth=1 interp=1 | render ms 92.04/94.81/98.73 | fps 9.9 | tri 2304 | fill 623 win 986 under 0 | synth 3219 cy/pump 46.16 Mcy/s 1923 cy/sample | pump worst 346.64 us peak 393.66 us | AHASH s=1464000 87577d1f
T t=62.2 bar=32 sec=2 smooth=1 interp=1 | render ms 99.84/101.51/102.06 | fps 8.6 | tri 2300 | fill 623 win 988 under 0 | synth 3375 cy/pump 48.41 Mcy/s 2050 cy/sample | pump worst 396.58 us peak 396.58 us | AHASH s=1488000 4da64a77
T t=63.3 bar=32 sec=2 smooth=1 interp=1 | render ms 93.81/97.85/101.16 | fps 9.6 | tri 2304 | fill 623 win 988 under 0 | synth 3445 cy/pump 49.41 Mcy/s 2027 cy/sample | pump worst 382.18 us peak 396.58 us | AHASH s=1512000 a8e5fe43
T t=64.3 bar=33 sec=2 smooth=1 interp=1 | render ms 91.90/92.54/93.62 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3463 cy/pump 49.67 Mcy/s 2069 cy/sample | pump worst 387.41 us peak 396.58 us | AHASH s=1536000 dbdcb4db
T t=65.3 bar=34 sec=2 smooth=1 interp=1 | render ms 94.47/97.74/99.33 | fps 9.9 | tri 2296 | fill 623 win 988 under 0 | synth 3458 cy/pump 49.59 Mcy/s 2066 cy/sample | pump worst 406.81 us peak 406.81 us | AHASH s=1560000 13f8d849
T t=66.3 bar=34 sec=2 smooth=1 interp=1 | render ms 98.28/99.23/99.62 | fps 9.9 | tri 2302 | fill 623 win 988 under 0 | synth 3437 cy/pump 49.29 Mcy/s 2053 cy/sample | pump worst 386.38 us peak 406.81 us | AHASH s=1584000 42a59914
T t=67.3 bar=35 sec=2 smooth=1 interp=1 | render ms 92.13/94.87/97.93 | fps 9.9 | tri 2304 | fill 623 win 986 under 0 | synth 3454 cy/pump 49.53 Mcy/s 2064 cy/sample | pump worst 413.85 us peak 413.85 us | AHASH s=1608000 a38b0fe5
T t=68.3 bar=35 sec=2 smooth=1 interp=1 | render ms 92.14/93.86/96.99 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3471 cy/pump 49.77 Mcy/s 2073 cy/sample | pump worst 364.25 us peak 413.85 us | AHASH s=1632000 590a10a1
T t=69.3 bar=36 sec=2 smooth=1 interp=1 | render ms 97.70/98.59/99.06 | fps 9.9 | tri 2288 | fill 623 win 988 under 0 | synth 3450 cy/pump 49.47 Mcy/s 2062 cy/sample | pump worst 363.15 us peak 413.85 us | AHASH s=1656000 8f052b4a
T t=70.3 bar=36 sec=2 smooth=1 interp=1 | render ms 96.24/97.74/98.94 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3440 cy/pump 49.34 Mcy/s 2054 cy/sample | pump worst 366.34 us peak 413.85 us | AHASH s=1680000 65f7b5d6
T t=71.3 bar=37 sec=2 smooth=1 interp=1 | render ms 92.22/93.19/95.54 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3461 cy/pump 49.64 Mcy/s 2068 cy/sample | pump worst 398.04 us peak 413.85 us | AHASH s=1704000 e847d1df
T t=72.3 bar=37 sec=2 smooth=1 interp=1 | render ms 92.92/95.95/98.48 | fps 9.9 | tri 2298 | fill 623 win 988 under 0 | synth 3467 cy/pump 49.71 Mcy/s 2071 cy/sample | pump worst 357.07 us peak 413.85 us | AHASH s=1728000 75bc7a8b
T t=73.3 bar=38 sec=2 smooth=1 interp=1 | render ms 98.75/99.06/99.33 | fps 9.9 | tri 2297 | fill 623 win 988 under 0 | synth 3442 cy/pump 49.37 Mcy/s 2057 cy/sample | pump worst 370.63 us peak 413.85 us | AHASH s=1752000 220c1502
T t=74.3 bar=38 sec=2 smooth=1 interp=1 | render ms 93.21/96.62/99.09 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3448 cy/pump 49.44 Mcy/s 2060 cy/sample | pump worst 359.19 us peak 413.85 us | AHASH s=1776000 cebf16e1
T t=75.3 bar=39 sec=2 smooth=1 interp=1 | render ms 92.00/92.66/94.23 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 3445 cy/pump 49.41 Mcy/s 2059 cy/sample | pump worst 370.02 us peak 413.85 us | AHASH s=1800000 cfc107e8
T t=76.3 bar=39 sec=2 smooth=1 interp=1 | render ms 95.06/98.28/100.07 | fps 9.9 | tri 2290 | fill 623 win 988 under 0 | synth 3440 cy/pump 49.33 Mcy/s 2054 cy/sample | pump worst 369.87 us peak 413.85 us | AHASH s=1824000 1d85cd2a
T t=77.3 bar=40 sec=3 smooth=1 interp=1 | render ms 98.28/99.77/100.30 | fps 9.7 | tri 2303 | fill 623 win 988 under 0 | synth 3419 cy/pump 49.03 Mcy/s 2043 cy/sample | pump worst 370.10 us peak 413.85 us | AHASH s=1848000 7f346d77
T t=78.4 bar=40 sec=3 smooth=1 interp=1 | render ms 117.75/120.13/123.98 | fps 7.4 | tri 2304 | fill 623 win 988 under 0 | synth 3752 cy/pump 53.81 Mcy/s 2315 cy/sample | pump worst 381.99 us peak 413.85 us | AHASH s=1872000 b519ba07
T t=79.5 bar=41 sec=3 smooth=1 interp=1 | render ms 118.07/120.07/123.05 | fps 7.4 | tri 2304 | fill 623 win 988 under 0 | synth 3280 cy/pump 47.03 Mcy/s 1959 cy/sample | pump worst 323.61 us peak 413.85 us | AHASH s=1896000 02208dd0
T t=80.5 bar=41 sec=3 smooth=1 interp=1 | render ms 123.88/125.36/125.97 | fps 7.4 | tri 2295 | fill 623 win 986 under 0 | synth 3266 cy/pump 46.84 Mcy/s 1951 cy/sample | pump worst 377.73 us peak 413.85 us | AHASH s=1920000 2b8060c5
T t=81.6 bar=42 sec=3 smooth=1 interp=1 | render ms 116.40/120.62/124.93 | fps 7.5 | tri 2304 | fill 623 win 988 under 0 | synth 3278 cy/pump 47.01 Mcy/s 1928 cy/sample | pump worst 319.71 us peak 413.85 us | AHASH s=1944000 406f3685
T t=82.6 bar=43 sec=3 smooth=1 interp=1 | render ms 89.29/109.45/115.64 | fps 8.8 | tri 2304 | fill 623 win 988 under 0 | synth 3301 cy/pump 47.34 Mcy/s 1941 cy/sample | pump worst 367.22 us peak 413.85 us | AHASH s=1968000 010d00b1
T t=83.6 bar=43 sec=3 smooth=1 interp=1 | render ms 90.35/93.12/95.52 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2788 cy/pump 39.99 Mcy/s 1666 cy/sample | pump worst 286.44 us peak 413.85 us | AHASH s=1992000 28981459
