T t=36.0 bar=18 sec=1 smooth=1 interp=1 | render ms 80.41/81.18/81.80 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2631 cy/pump 37.74 Mcy/s 1572 cy/sample | pump worst 272.12 us peak 281.41 us | AHASH s=864000 924f100d
T t=37.0 bar=19 sec=1 smooth=1 interp=1 | render ms 81.00/81.73/82.11 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2635 cy/pump 37.78 Mcy/s 1574 cy/sample | pump worst 268.23 us peak 281.41 us | AHASH s=888000 3d17f4f5
T t=38.0 bar=19 sec=1 smooth=1 interp=1 | render ms 79.59/80.00/80.91 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2617 cy/pump 37.54 Mcy/s 1564 cy/sample | pump worst 267.24 us peak 281.41 us | AHASH s=912000 1f951d1a
T t=39.0 bar=20 sec=1 smooth=1 interp=1 | render ms 79.59/80.24/81.20 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2618 cy/pump 37.55 Mcy/s 1564 cy/sample | pump worst 268.11 us peak 281.41 us | AHASH s=936000 28ff1221
T t=40.0 bar=20 sec=1 smooth=1 interp=1 | render ms 81.28/81.74/82.17 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2633 cy/pump 37.77 Mcy/s 1574 cy/sample | pump worst 261.83 us peak 281.41 us | AHASH s=960000 8677b010
T t=41.1 bar=21 sec=1 smooth=1 interp=1 | render ms 80.01/81.25/82.16 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2630 cy/pump 37.71 Mcy/s 1571 cy/sample | pump worst 271.53 us peak 281.41 us | AHASH s=984000 7756bf40
T t=42.1 bar=21 sec=1 smooth=1 interp=1 | render ms 79.46/79.59/80.03 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2616 cy/pump 37.51 Mcy/s 1563 cy/sample | pump worst 268.44 us peak 281.41 us | AHASH s=1008000 b5e272cc
T t=43.1 bar=22 sec=1 smooth=1 interp=1 | render ms 79.85/80.59/81.27 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2626 cy/pump 37.66 Mcy/s 1569 cy/sample | pump worst 248.66 us peak 281.41 us | AHASH s=1032000 0986ec4d
T t=44.1 bar=22 sec=1 smooth=1 interp=1 | render ms 81.38/81.95/82.31 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2642 cy/pump 37.89 Mcy/s 1579 cy/sample | pump worst 264.60 us peak 281.41 us | AHASH s=1056000 daf10843
T t=45.1 bar=23 sec=1 smooth=1 interp=1 | render ms 79.88/80.56/81.66 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2620 cy/pump 37.58 Mcy/s 1565 cy/sample | pump worst 266.78 us peak 281.41 us | AHASH s=1080000 cc5fc6ad
T t=46.1 bar=24 sec=2 smooth=1 interp=1 | render ms 79.96/80.38/81.04 | fps 11.9 | tri 2304 | fill 623 win 988 under 0 | synth 2620 cy/pump 37.57 Mcy/s 1565 cy/sample | pump worst 270.22 us peak 281.41 us | AHASH s=1104000 0b0a0483
T t=47.1 bar=24 sec=2 smooth=1 interp=1 | render ms 81.33/83.50/86.93 | fps 11.0 | tri 2304 | fill 623 win 986 under 0 | synth 2625 cy/pump 37.64 Mcy/s 1592 cy/sample | pump worst 264.16 us peak 281.41 us | AHASH s=1128000 c8dcb7c1
T t=48.1 bar=25 sec=2 smooth=1 interp=1 | render ms 87.76/90.77/93.34 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2632 cy/pump 37.74 Mcy/s 1572 cy/sample | pump worst 270.15 us peak 281.41 us | AHASH s=1152000 6b420969
T t=49.2 bar=25 sec=2 smooth=1 interp=1 | render ms 93.88/96.34/99.21 | fps 9.9 | tri 2304 | fill 623 win 988 under 0 | synth 2660 cy/pump 38.14 Mcy/s 1589 cy/sample | pump worst 260.03 us peak 281.41 us | AHASH s=1176000 eae19ea5
T t=50.2 bar=26 sec=2 smooth=1 interp=1 | render ms 100.01/104.95/110.90 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2614 cy/pump 37.49 Mcy/s 1587 cy/sample | pump worst 261.84 us peak 281.41 us | AHASH s=1200000 7abff82d
T t=51.3 bar=26 sec=2 smooth=1 interp=1 | render ms 112.55/116.13/118.44 | fps 8.1 | tri 2286 | fill 623 win 988 under 0 | synth 2591 cy/pump 37.15 Mcy/s 1571 cy/sample | pump worst 240.07 us peak 281.41 us | AHASH s=1224000 f3d16a87
T t=52.3 bar=27 sec=2 smooth=1 interp=1 | render ms 114.19/116.83/118.49 | fps 7.9 | tri 2304 | fill 623 win 988 under 0 | synth 2582 cy/pump 37.04 Mcy/s 1518 cy/sample | pump worst 279.46 us peak 281.41 us | AHASH s=1248000 07cd4853
T t=53.4 bar=27 sec=2 smooth=1 interp=1 | render ms 112.51/113.16/114.44 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 2627 cy/pump 37.68 Mcy/s 1569 cy/sample | pump worst 260.74 us peak 281.41 us | AHASH s=1272000 26e9b6e3
T t=54.4 bar=28 sec=2 smooth=1 interp=1 | render ms 115.40/118.58/120.71 | fps 7.7 | tri 2289 | fill 623 win 988 under 0 | synth 2917 cy/pump 41.83 Mcy/s 1771 cy/sample | pump worst 307.00 us peak 307.00 us | AHASH s=1296000 442c5156
T t=55.4 bar=28 sec=2 smooth=1 interp=1 | render ms 119.50/120.63/120.96 | fps 7.4 | tri 2303 | fill 623 win 988 under 0 | synth 2965 cy/pump 42.52 Mcy/s 1771 cy/sample | pump worst 296.06 us peak 307.00 us | AHASH s=1320000 a734ea72
T t=56.5 bar=29 sec=2 smooth=1 interp=1 | render ms 112.75/114.54/118.32 | fps 8.4 | tri 2304 | fill 623 win 988 under 0 | synth 3017 cy/pump 43.27 Mcy/s 1775 cy/sample | pump worst 286.69 us peak 307.00 us | AHASH s=1344000 13a42f10
T t=57.6 bar=30 sec=2 smooth=1 interp=1 | render ms 113.06/116.04/120.45 | fps 8.1 | tri 2304 | fill 623 win 988 under 0 | synth 3015 cy/pump 43.24 Mcy/s 1830 cy/sample | pump worst 284.14 us peak 307.00 us | AHASH s=1368000 b9b83a42
T t=58.7 bar=30 sec=2 smooth=1 interp=1 | render ms 121.74/123.31/123.92 | fps 7.4 | tri 2301 | fill 623 win 988 under 0 | synth 2985 cy/pump 42.81 Mcy/s 1783 cy/sample | pump worst 283.28 us peak 307.00 us | AHASH s=1392000 0d79ece0
T t=59.7 bar=31 sec=2 smooth=1 interp=1 | render ms 114.28/118.26/122.79 | fps 7.8 | tri 2304 | fill 623 win 988 under 0 | synth 2995 cy/pump 42.95 Mcy/s 1760 cy/sample | pump worst 322.63 us peak 322.63 us | AHASH s=1416000 b0c4ebfc
T t=60.8 bar=31 sec=2 smooth=1 interp=1 | render ms 113.40/114.24/116.30 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 3035 cy/pump 43.53 Mcy/s 1814 cy/sample | pump worst 301.28 us peak 322.63 us | AHASH s=1440000 922bffee
T t=61.8 bar=32 sec=2 smooth=1 interp=1 | render ms 117.36/121.38/123.67 | fps 7.4 | tri 2300 | fill 623 win 988 under 0 | synth 3125 cy/pump 44.81 Mcy/s 1896 cy/sample | pump worst 306.71 us peak 322.63 us | AHASH s=1488000 f22aaa1e
T t=62.9 bar=32 sec=2 smooth=1 interp=1 | render ms 118.93/121.91/123.56 | fps 7.4 | tri 2304 | fill 623 win 988 under 0 | synth 3214 cy/pump 46.09 Mcy/s 1920 cy/sample | pump worst 313.01 us peak 322.63 us | AHASH s=1512000 bbcb0180
T t=64.0 bar=33 sec=2 smooth=1 interp=1 | render ms 113.39/114.63/117.43 | fps 8.4 | tri 2304 | fill 623 win 988 under 0 | synth 3266 cy/pump 46.84 Mcy/s 1921 cy/sample | pump worst 326.39 us peak 326.39 us | AHASH s=1536000 6e36d4ab
T t=65.0 bar=33 sec=2 smooth=1 interp=1 | render ms 114.26/117.40/120.68 | fps 7.9 | tri 2304 | fill 623 win 988 under 0 | synth 3250 cy/pump 46.60 Mcy/s 1974 cy/sample | pump worst 307.20 us peak 326.39 us | AHASH s=1560000 7cff19ae
T t=66.1 bar=34 sec=2 smooth=1 interp=1 | render ms 120.51/120.89/121.11 | fps 7.4 | tri 2298 | fill 623 win 988 under 0 | synth 3204 cy/pump 45.95 Mcy/s 1914 cy/sample | pump worst 340.73 us peak 340.73 us | AHASH s=1584000 7ebdd891
T t=67.1 bar=34 sec=2 smooth=1 interp=1 | render ms 114.12/117.38/120.09 | fps 7.8 | tri 2304 | fill 623 win 988 under 0 | synth 3222 cy/pump 46.21 Mcy/s 1894 cy/sample | pump worst 322.32 us peak 340.73 us | AHASH s=1608000 1a83294a
T t=68.1 bar=35 sec=2 smooth=1 interp=1 | render ms 113.30/114.39/116.75 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 3277 cy/pump 46.98 Mcy/s 1958 cy/sample | pump worst 303.85 us peak 340.73 us | AHASH s=1632000 07880d49
T t=69.2 bar=36 sec=2 smooth=1 interp=1 | render ms 117.95/119.42/120.11 | fps 7.4 | tri 2288 | fill 623 win 988 under 0 | synth 3210 cy/pump 46.04 Mcy/s 1948 cy/sample | pump worst 327.05 us peak 340.73 us | AHASH s=1656000 67be3d54
T t=70.3 bar=36 sec=2 smooth=1 interp=1 | render ms 117.13/118.72/119.95 | fps 7.5 | tri 2304 | fill 623 win 988 under 0 | synth 3205 cy/pump 45.96 Mcy/s 1884 cy/sample | pump worst 304.44 us peak 340.73 us | AHASH s=1680000 9df68b13
T t=71.3 bar=37 sec=2 smooth=1 interp=1 | render ms 112.85/113.91/116.37 | fps 8.5 | tri 2304 | fill 623 win 988 under 0 | synth 3264 cy/pump 46.81 Mcy/s 1951 cy/sample | pump worst 320.49 us peak 340.73 us | AHASH s=1704000 22355fd6
T t=72.3 bar=37 sec=2 smooth=1 interp=1 | render ms 113.73/116.57/119.07 | fps 7.9 | tri 2298 | fill 623 win 988 under 0 | synth 3236 cy/pump 46.42 Mcy/s 1966 cy/sample | pump worst 315.41 us peak 340.73 us | AHASH s=1728000 140fd3d6
T t=73.4 bar=38 sec=2 smooth=1 interp=1 | render ms 119.27/119.44/119.61 | fps 7.4 | tri 2299 | fill 623 win 988 under 0 | synth 3185 cy/pump 45.68 Mcy/s 1904 cy/sample | pump worst 305.41 us peak 340.73 us | AHASH s=1752000 638d16fb
T t=74.5 bar=38 sec=2 smooth=1 interp=1 | render ms 112.46/115.71/119.15 | fps 8.1 | tri 2304 | fill 623 win 988 under 0 | synth 3225 cy/pump 46.26 Mcy/s 1898 cy/sample | pump worst 317.79 us peak 340.73 us | AHASH s=1776000 a88c9e53
T t=75.6 bar=39 sec=2 smooth=1 interp=1 | render ms 111.97/113.28/116.04 | fps 8.5 | tri 2304 | fill 623 win 987 under 0 | synth 3253 cy/pump 46.64 Mcy/s 1943 cy/sample | pump worst 325.96 us peak 340.73 us | AHASH s=1800000 34621678
T t=76.6 bar=39 sec=2 smooth=1 interp=1 | render ms 117.30/119.24/119.97 | fps 7.4 | tri 2287 | fill 623 win 988 under 0 | synth 3190 cy/pump 45.74 Mcy/s 1936 cy/sample | pump worst 315.55 us peak 340.73 us | AHASH s=1824000 dca0463a
T t=77.6 bar=40 sec=3 smooth=1 interp=1 | render ms 118.30/129.14/154.51 | fps 6.9 | tri 2304 | fill 623 win 988 under 0 | synth 3205 cy/pump 45.97 Mcy/s 1981 cy/sample | pump worst 313.81 us peak 340.73 us | AHASH s=1848000 68a36f46
T t=78.7 bar=41 sec=3 smooth=1 interp=1 | render ms 147.80/148.77/151.11 | fps 6.5 | tri 2304 | fill 623 win 988 under 0 | synth 2950 cy/pump 42.31 Mcy/s 1736 cy/sample | pump worst 316.37 us peak 340.73 us | AHASH s=1872000 9c45aa63
T t=79.8 bar=41 sec=3 smooth=1 interp=1 | render ms 148.66/151.60/154.64 | fps 6.1 | tri 2297 | fill 623 win 988 under 0 | synth 2604 cy/pump 37.34 Mcy/s 1579 cy/sample | pump worst 266.13 us peak 340.73 us | AHASH s=1920000 e339b2ac
