T t=36.1 bar=18 sec=1 smooth=0 interp=0 | render ms 17.58/17.77/17.94 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2955 cy/pump 42.38 Mcy/s 1766 cy/sample | pump worst 201.50 us peak 302.17 us | AHASH s=864000 4eccd0e0
T t=37.1 bar=19 sec=1 smooth=0 interp=0 | render ms 17.82/18.01/18.14 | fps 29.8 | tri 2304 | fill 624 win 986 under 0 | synth 2960 cy/pump 42.45 Mcy/s 1769 cy/sample | pump worst 224.06 us peak 302.17 us | AHASH s=888000 dfd678f9
T t=38.1 bar=19 sec=1 smooth=0 interp=0 | render ms 17.30/17.48/17.94 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2954 cy/pump 42.36 Mcy/s 1765 cy/sample | pump worst 262.33 us peak 302.17 us | AHASH s=912000 25c722ab
T t=39.1 bar=20 sec=1 smooth=0 interp=0 | render ms 17.37/17.60/17.91 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2962 cy/pump 42.47 Mcy/s 1769 cy/sample | pump worst 293.58 us peak 302.17 us | AHASH s=936000 fbadb011
T t=40.1 bar=20 sec=1 smooth=0 interp=0 | render ms 17.84/17.97/18.17 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2970 cy/pump 42.59 Mcy/s 1774 cy/sample | pump worst 253.93 us peak 302.17 us | AHASH s=960000 de61e0c1
T t=41.1 bar=21 sec=1 smooth=0 interp=0 | render ms 17.28/17.80/18.20 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2961 cy/pump 42.46 Mcy/s 1769 cy/sample | pump worst 243.50 us peak 302.17 us | AHASH s=984000 f79ec5e2
T t=42.1 bar=21 sec=1 smooth=0 interp=0 | render ms 17.05/17.14/17.36 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2952 cy/pump 42.34 Mcy/s 1765 cy/sample | pump worst 261.18 us peak 302.17 us | AHASH s=1008000 bfa0fdad
T t=43.1 bar=22 sec=1 smooth=0 interp=0 | render ms 17.08/17.24/17.39 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2953 cy/pump 42.35 Mcy/s 1765 cy/sample | pump worst 208.20 us peak 302.17 us | AHASH s=1032000 d31336a3
T t=44.1 bar=22 sec=1 smooth=0 interp=0 | render ms 17.41/17.67/17.85 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2960 cy/pump 42.45 Mcy/s 1769 cy/sample | pump worst 305.69 us peak 305.69 us | AHASH s=1056000 912579a7
T t=45.1 bar=23 sec=1 smooth=0 interp=0 | render ms 16.93/17.12/17.61 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2933 cy/pump 42.06 Mcy/s 1752 cy/sample | pump worst 197.87 us peak 305.69 us | AHASH s=1080000 8a70a16b
T t=46.1 bar=24 sec=2 smooth=0 interp=0 | render ms 17.07/17.15/17.31 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2912 cy/pump 41.76 Mcy/s 1740 cy/sample | pump worst 261.56 us peak 305.69 us | AHASH s=1104000 97edaddf
T t=47.1 bar=24 sec=2 smooth=0 interp=0 | render ms 17.33/17.98/19.17 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 2953 cy/pump 42.35 Mcy/s 1765 cy/sample | pump worst 263.51 us peak 305.69 us | AHASH s=1128000 7feb3aa2
T t=48.1 bar=25 sec=2 smooth=0 interp=0 | render ms 19.40/20.42/21.18 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3017 cy/pump 43.26 Mcy/s 1802 cy/sample | pump worst 214.75 us peak 305.69 us | AHASH s=1152000 1a3884b6
T t=49.1 bar=25 sec=2 smooth=0 interp=0 | render ms 21.24/22.24/23.72 | fps 29.8 | tri 2304 | fill 624 win 987 under 0 | synth 3067 cy/pump 43.98 Mcy/s 1832 cy/sample | pump worst 254.21 us peak 305.69 us | AHASH s=1176000 bf0863e8
T t=50.1 bar=26 sec=2 smooth=0 interp=0 | render ms 23.86/25.37/27.03 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3133 cy/pump 44.94 Mcy/s 1873 cy/sample | pump worst 208.03 us peak 305.69 us | AHASH s=1200000 63e9ad1a
T t=51.1 bar=26 sec=2 smooth=0 interp=0 | render ms 27.23/28.14/28.91 | fps 29.8 | tri 2284 | fill 624 win 988 under 0 | synth 3117 cy/pump 44.70 Mcy/s 1862 cy/sample | pump worst 242.55 us peak 305.69 us | AHASH s=1224000 b5c5cb3a
T t=52.1 bar=27 sec=2 smooth=0 interp=0 | render ms 28.40/28.90/29.08 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3145 cy/pump 45.10 Mcy/s 1879 cy/sample | pump worst 286.01 us peak 305.69 us | AHASH s=1248000 6157a516
T t=53.1 bar=27 sec=2 smooth=0 interp=0 | render ms 27.85/28.06/28.44 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3159 cy/pump 45.30 Mcy/s 1888 cy/sample | pump worst 260.89 us peak 305.69 us | AHASH s=1272000 ab91ddd9
T t=54.1 bar=28 sec=2 smooth=0 interp=0 | render ms 28.30/28.90/29.30 | fps 29.8 | tri 2295 | fill 624 win 988 under 0 | synth 3352 cy/pump 48.07 Mcy/s 2003 cy/sample | pump worst 219.04 us peak 305.69 us | AHASH s=1296000 8baffc20
T t=55.1 bar=28 sec=2 smooth=0 interp=0 | render ms 29.17/29.34/29.46 | fps 29.8 | tri 2295 | fill 624 win 988 under 0 | synth 3523 cy/pump 50.53 Mcy/s 2105 cy/sample | pump worst 236.75 us peak 305.69 us | AHASH s=1320000 3b630348
T t=56.1 bar=29 sec=2 smooth=0 interp=0 | render ms 27.81/28.61/29.52 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3528 cy/pump 50.60 Mcy/s 2108 cy/sample | pump worst 281.28 us peak 305.69 us | AHASH s=1344000 edeb9639
T t=57.1 bar=29 sec=2 smooth=0 interp=0 | render ms 27.84/28.07/28.46 | fps 29.8 | tri 2304 | fill 624 win 987 under 0 | synth 3519 cy/pump 50.46 Mcy/s 2102 cy/sample | pump worst 234.32 us peak 305.69 us | AHASH s=1368000 17132e3e
T t=58.2 bar=30 sec=2 smooth=0 interp=0 | render ms 28.54/29.23/29.96 | fps 29.8 | tri 2298 | fill 624 win 988 under 0 | synth 3542 cy/pump 50.80 Mcy/s 2117 cy/sample | pump worst 258.59 us peak 305.69 us | AHASH s=1392000 aa2e3ea0
T t=59.2 bar=30 sec=2 smooth=0 interp=0 | render ms 28.61/29.51/30.02 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3519 cy/pump 50.47 Mcy/s 2103 cy/sample | pump worst 273.11 us peak 305.69 us | AHASH s=1416000 17240086
T t=60.2 bar=31 sec=2 smooth=0 interp=0 | render ms 27.89/28.12/28.78 | fps 29.8 | tri 2304 | fill 624 win 987 under 0 | synth 3531 cy/pump 50.63 Mcy/s 2110 cy/sample | pump worst 325.51 us peak 325.51 us | AHASH s=1440000 388937bb
T t=61.2 bar=31 sec=2 smooth=0 interp=0 | render ms 27.92/28.33/29.10 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3527 cy/pump 50.58 Mcy/s 2108 cy/sample | pump worst 285.79 us peak 325.51 us | AHASH s=1464000 2b15c05f
T t=62.2 bar=32 sec=2 smooth=0 interp=0 | render ms 29.23/29.88/30.13 | fps 29.8 | tri 2300 | fill 624 win 988 under 0 | synth 3755 cy/pump 53.85 Mcy/s 2243 cy/sample | pump worst 281.69 us peak 325.51 us | AHASH s=1488000 69d899e5
T t=63.2 bar=32 sec=2 smooth=0 interp=0 | render ms 28.28/29.34/30.08 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3791 cy/pump 54.37 Mcy/s 2265 cy/sample | pump worst 287.03 us peak 325.51 us | AHASH s=1512000 e6c2be9e
T t=64.2 bar=33 sec=2 smooth=0 interp=0 | render ms 28.08/28.24/28.48 | fps 29.8 | tri 2304 | fill 624 win 987 under 0 | synth 3804 cy/pump 54.55 Mcy/s 2273 cy/sample | pump worst 263.91 us peak 325.51 us | AHASH s=1536000 b5da9217
T t=65.2 bar=33 sec=2 smooth=0 interp=0 | render ms 28.50/29.19/29.57 | fps 29.8 | tri 2298 | fill 624 win 988 under 0 | synth 3814 cy/pump 54.69 Mcy/s 2278 cy/sample | pump worst 353.16 us peak 353.16 us | AHASH s=1560000 9e21f82e
T t=66.2 bar=34 sec=2 smooth=0 interp=0 | render ms 29.40/29.56/29.70 | fps 29.8 | tri 2300 | fill 624 win 988 under 0 | synth 3790 cy/pump 54.35 Mcy/s 2265 cy/sample | pump worst 240.87 us peak 353.16 us | AHASH s=1584000 7dc00414
T t=67.2 bar=35 sec=2 smooth=0 interp=0 | render ms 28.14/28.87/29.72 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3812 cy/pump 54.67 Mcy/s 2277 cy/sample | pump worst 290.07 us peak 353.16 us | AHASH s=1608000 44f57e29
T t=68.2 bar=35 sec=2 smooth=0 interp=0 | render ms 28.15/28.61/29.32 | fps 29.8 | tri 2304 | fill 624 win 988 under 0 | synth 3832 cy/pump 54.95 Mcy/s 2290 cy/sample | pump worst 304.34 us peak 353.16 us | AHASH s=1632000 a95540e7
T t=69.2 bar=36 sec=2 smooth=0 interp=0 | render ms 29.38/29.55/29.65 | fps 29.8 | tri 2288 | fill 624 win 988 under 0 | synth 3802 cy/pump 54.52 Mcy/s 2272 cy/sample | pump worst 253.23 us peak 353.16 us | AHASH s=1656000 212203b4
