
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=61616 heap_free=61616 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=61616
BOOT heap_free_after_video=49152 scanout_lines=240
T t=34.1 bar=17 ph=3 the plain | render ms 64.35/64.40/64.51 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2953 cy/pump 42.35 Mcy/s 1764 cy/sample | tri 70 px 3178 part 82 ch 1 | AHASH s=816000 fe2692d6
T t=35.1 bar=18 ph=3 the plain | render ms 64.37/64.40/64.46 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.34 Mcy/s 1764 cy/sample | tri 70 px 3192 part 83 ch 1 | AHASH s=840000 c7922fc0
T t=36.1 bar=18 ph=3 the plain | render ms 64.39/64.42/64.51 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2954 cy/pump 42.37 Mcy/s 1765 cy/sample | tri 70 px 3195 part 83 ch 1 | AHASH s=864000 197a6d81
T t=37.1 bar=19 ph=3 the plain | render ms 64.39/64.42/64.49 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1763 cy/sample | tri 70 px 3209 part 84 ch 1 | AHASH s=888000 7489a231
T t=38.1 bar=19 ph=3 the plain | render ms 64.40/64.42/64.49 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2954 cy/pump 42.36 Mcy/s 1765 cy/sample | tri 70 px 3218 part 84 ch 1 | AHASH s=912000 f1caa5b0
T t=39.1 bar=20 ph=3 the plain | render ms 64.41/64.44/64.55 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2956 cy/pump 42.39 Mcy/s 1766 cy/sample | tri 70 px 3231 part 86 ch 1 | AHASH s=936000 6502a091
T t=40.1 bar=20 ph=3 the plain | render ms 64.39/64.44/64.52 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1763 cy/sample | tri 70 px 3237 part 86 ch 1 | AHASH s=960000 343dd2f7
T t=41.1 bar=21 ph=3 the plain | render ms 64.39/64.44/64.52 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2953 cy/pump 42.34 Mcy/s 1764 cy/sample | tri 70 px 3254 part 86 ch 1 | AHASH s=984000 1856fdf2
T t=42.1 bar=21 ph=3 the plain | render ms 64.41/64.44/64.51 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2954 cy/pump 42.36 Mcy/s 1765 cy/sample | tri 70 px 3252 part 86 ch 1 | AHASH s=1008000 a0412651
T t=43.1 bar=22 ph=3 the plain | render ms 64.41/64.44/64.50 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2952 cy/pump 42.33 Mcy/s 1763 cy/sample | tri 70 px 3260 part 87 ch 1 | AHASH s=1032000 aaebaad7
T t=44.1 bar=23 ph=3 the plain | render ms 64.41/64.44/64.51 | fps 14.9 | hold 4 miss 15 late 15 | gap ms 66.94 | under 0 fill 465 | copy 2350 cy/line 33.70 Mcy/s | synth 2953 cy/pump 42.35 Mcy/s 1764 cy/sample | tri 70 px 3250 part 89 ch 1 | AHASH s=1056000 b6aeddef
T t=45.1 bar=23 ph=3 the plain | render ms 64.43/79.17/94.34 | fps 11.9 | hold 6 miss 12 late 12 | gap ms 100.41 | under 0 fill 465 | copy 2351 cy/line 33.71 Mcy/s | synth 2949 cy/pump 42.29 Mcy/s 1762 cy/sample | tri 74 px 6139 part 89 ch 1 | AHASH s=1080000 3c3b7676
PHRASE t=46.1 bar=24 ph=4 the hand | render ms 64.34/66.47/95.51 | fps 14.4 | hold 6 miss 222 late 222 | gap ms 100.41 | under 0 fill 465 | copy 2350 cy/line 33.71 Mcy/s | synth 2952 cy/pump 42.34 Mcy/s 1764 cy/sample | tri 346 px 52337 part 94 ch 2 | AHASH s=1104000 159985cb
T t=46.2 bar=24 ph=4 the hand | render ms 66.72/89.95/95.51 | fps 10.4 | hold 6 miss 11 late 11 | gap ms 100.41 | under 0 fill 465 | copy 2351 cy/line 33.72 Mcy/s | synth 2951 cy/pump 42.31 Mcy/s 1763 cy/sample | tri 346 px 52351 part 94 ch 2 | AHASH s=1104000 159985cb
T t=47.2 bar=24 ph=4 the hand | render ms 65.16/65.96/66.74 | fps 14.6 | hold 5 miss 15 late 15 | gap ms 83.68 | under 0 fill 465 | copy 2352 cy/line 33.73 Mcy/s | synth 2968 cy/pump 42.57 Mcy/s 1773 cy/sample | tri 346 px 44736 part 94 ch 2 | AHASH s=1128000 a507af95
