
=== COLOSSUS / LATENT / 2026 === sys_clk=300000000
BOOT heap_region=62352 heap_free=62352 ballast=0 total_samples=7372800 bars=160
BOOT heap_free_after_init=62352
BOOT heap_free_after_video=49152 scanout_lines=240
T t=28.0 bar=14 ph=2 the plain | render ms 89.87/89.90/90.06 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=672000 ffe2d472
T t=29.0 bar=15 ph=2 the plain | render ms 89.89/89.93/90.05 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2943 cy/pump 42.21 Mcy/s 1758 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=696000 f6db67eb
T t=30.0 bar=15 ph=2 the plain | render ms 89.86/89.91/90.01 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=720000 f5803255
PHRASE t=30.7 bar=16 ph=3 the plain | render ms 89.84/89.92/90.09 | fps 9.9 | hold 6 miss 153 late 153 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2941 cy/pump 42.17 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=720000 f5803255
T t=31.0 bar=16 ph=3 the plain | render ms 89.85/89.93/90.06 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2941 cy/pump 42.17 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=744000 81431960
T t=32.0 bar=16 ph=3 the plain | render ms 89.84/89.90/90.04 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2941 cy/pump 42.18 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=768000 2e36c2ff
T t=33.0 bar=17 ph=3 the plain | render ms 89.88/89.91/90.03 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.16 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=792000 db9f6da3
T t=34.0 bar=17 ph=3 the plain | render ms 89.87/89.93/90.05 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2942 cy/pump 42.18 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=816000 fe2692d6
T t=35.0 bar=18 ph=3 the plain | render ms 89.92/89.97/90.12 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2945 cy/pump 42.23 Mcy/s 1759 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=840000 c7922fc0
T t=36.0 bar=18 ph=3 the plain | render ms 89.88/89.93/90.08 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2939 cy/pump 42.15 Mcy/s 1756 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=864000 197a6d81
T t=37.0 bar=19 ph=3 the plain | render ms 89.90/89.94/90.06 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2942 cy/pump 42.18 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=888000 7489a231
T t=38.0 bar=19 ph=3 the plain | render ms 89.88/89.92/90.08 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2354 cy/line 33.77 Mcy/s | synth 2940 cy/pump 42.17 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=912000 f1caa5b0
T t=39.0 bar=20 ph=3 the plain | render ms 89.91/89.96/90.06 | fps 9.9 | hold 6 miss 10 late 10 | gap ms 100.41 | under 0 fill 466 | copy 2355 cy/line 33.77 Mcy/s | synth 2941 cy/pump 42.18 Mcy/s 1757 cy/sample | tri 1500 px 90000 part 256 ch 1 | AHASH s=936000 6502a091
